date,category,name,change,percentage
2008-11-01,AMD CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0004,0.0036
2008-11-01,AMD CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.0025,0.0224
2008-11-01,AMD CPU Speeds,1.7 Ghz to 1.99 Ghz,-0.0024,0.0714
2008-11-01,AMD CPU Speeds,2.0 Ghz to 2.29 Ghz,-0.004,0.1343
2008-11-01,AMD CPU Speeds,2.3 Ghz to 2.69 Ghz,0.0001,0.0727
2008-11-01,AMD CPU Speeds,2.7 Ghz to 2.99 Ghz,0.0004,0.0195
2008-11-01,AMD CPU Speeds,3.0 Ghz to 3.29 Ghz,0.0005,0.0229
2008-11-01,AMD CPU Speeds,3.3 Ghz to 3.69 Ghz,0.0,0.0003
2008-11-01,AMD CPU Speeds,3.7 Ghz and above,0.0,0.0
2008-11-01,AMD CPU Speeds,Below 1.4 Ghz,-0.0012,0.0104
2009-01-01,AMD CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0005,0.0028
2009-01-01,AMD CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.0026,0.0185
2009-01-01,AMD CPU Speeds,1.7 Ghz to 1.99 Ghz,-0.0043,0.0622
2009-01-01,AMD CPU Speeds,2.0 Ghz to 2.29 Ghz,0.0039,0.1364
2009-01-01,AMD CPU Speeds,2.3 Ghz to 2.69 Ghz,0.002,0.0766
2009-01-01,AMD CPU Speeds,2.7 Ghz to 2.99 Ghz,0.0002,0.0215
2009-01-01,AMD CPU Speeds,3.0 Ghz to 3.29 Ghz,0.0034,0.0273
2009-01-01,AMD CPU Speeds,3.3 Ghz to 3.69 Ghz,0.0001,0.0003
2009-01-01,AMD CPU Speeds,3.7 Ghz and above,0.0001,0.0001
2009-01-01,AMD CPU Speeds,Below 1.4 Ghz,-0.0022,0.0077
2009-02-01,AMD CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0001,0.0029
2009-02-01,AMD CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.0018,0.0177
2009-02-01,AMD CPU Speeds,1.7 Ghz to 1.99 Ghz,-0.0049,0.0593
2009-02-01,AMD CPU Speeds,2.0 Ghz to 2.29 Ghz,-0.0025,0.1288
2009-02-01,AMD CPU Speeds,2.3 Ghz to 2.69 Ghz,0.003,0.08
2009-02-01,AMD CPU Speeds,2.7 Ghz to 2.99 Ghz,0.0007,0.0224
2009-02-01,AMD CPU Speeds,3.0 Ghz to 3.29 Ghz,0.0052,0.0303
2009-02-01,AMD CPU Speeds,3.3 Ghz to 3.69 Ghz,0.0,0.0004
2009-02-01,AMD CPU Speeds,3.7 Ghz and above,-0.0001,0.0
2009-02-01,AMD CPU Speeds,Below 1.4 Ghz,-0.0012,0.0073
2009-03-01,AMD CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0001,0.0027
2009-03-01,AMD CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.0015,0.0166
2009-03-01,AMD CPU Speeds,1.7 Ghz to 1.99 Ghz,-0.0039,0.056
2009-03-01,AMD CPU Speeds,2.0 Ghz to 2.29 Ghz,0.0002,0.1254
2009-03-01,AMD CPU Speeds,2.3 Ghz to 2.69 Ghz,-0.0002,0.077
2009-03-01,AMD CPU Speeds,2.7 Ghz to 2.99 Ghz,0.0007,0.0235
2009-03-01,AMD CPU Speeds,3.0 Ghz to 3.29 Ghz,0.0015,0.0288
2009-03-01,AMD CPU Speeds,3.3 Ghz to 3.69 Ghz,0.0002,0.0007
2009-03-01,AMD CPU Speeds,3.7 Ghz and above,0.0001,0.0001
2009-03-01,AMD CPU Speeds,Below 1.4 Ghz,-0.0015,0.0068
2009-04-01,AMD CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0001,0.0025
2009-04-01,AMD CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.0018,0.0159
2009-04-01,AMD CPU Speeds,1.7 Ghz to 1.99 Ghz,-0.0013,0.0561
2009-04-01,AMD CPU Speeds,2.0 Ghz to 2.29 Ghz,-0.0037,0.1199
2009-04-01,AMD CPU Speeds,2.3 Ghz to 2.69 Ghz,-0.0002,0.0771
2009-04-01,AMD CPU Speeds,2.7 Ghz to 2.99 Ghz,0.0021,0.026
2009-04-01,AMD CPU Speeds,3.0 Ghz to 3.29 Ghz,0.0017,0.0295
