date,category,name,change,percentage
2008-11-01,ATI Drivers,6.14.10.6462 (8/19/2004),0.024,0.024
2008-11-01,ATI Drivers,6.14.10.6476 (8/25/2004),0.0,0.0108
2008-11-01,ATI Drivers,6.14.10.6561 (8/4/2005),-0.0009,0.0162
2008-11-01,ATI Drivers,6.14.10.6587 (12/2/2005),0.0158,0.0158
2008-11-01,ATI Drivers,6.14.10.6601 (2/22/2006),-0.0015,0.0113
2008-11-01,ATI Drivers,6.14.10.6614 (5/3/2006),-0.0045,0.0327
2008-11-01,ATI Drivers,6.14.10.6618 (5/24/2006),0.0127,0.0127
2008-11-01,ATI Drivers,6.14.10.6631 (7/18/2006),0.011,0.011
2008-11-01,ATI Drivers,6.14.10.6660 (12/17/2006),0.0105,0.0105
2008-11-01,ATI Drivers,6.14.10.6698 (6/13/2007),0.0115,0.0115
2008-11-01,ATI Drivers,6.14.10.6706 (1/6/2008),0.0155,0.0155
2008-11-01,ATI Drivers,6.14.10.6719 (8/30/2007),0.0114,0.0114
2008-11-01,ATI Drivers,6.14.10.6727 (9/29/2007),0.0258,0.0258
2008-11-01,ATI Drivers,6.14.10.6734 (11/2/2007),-0.0022,0.015
2008-11-01,ATI Drivers,6.14.10.6755 (12/5/2007),-0.003,0.0186
2008-11-01,ATI Drivers,6.14.10.6764 (12/21/2007),-0.0038,0.0346
2008-11-01,ATI Drivers,6.14.10.6783 (3/29/2008),-0.0081,0.0385
2008-11-01,ATI Drivers,6.14.10.6806 (5/12/2008),-0.0046,0.0151
2008-11-01,ATI Drivers,6.14.10.6822 (6/3/2008),0.0297,0.0297
2008-11-01,ATI Drivers,6.14.10.6833 (7/4/2008),-0.0082,0.0281
2008-11-01,ATI Drivers,6.14.10.6844 (8/1/2008),-0.0148,0.0323
2008-11-01,ATI Drivers,6.14.10.6860 (8/21/2008),-0.0183,0.042
2008-11-01,ATI Drivers,6.14.10.6869 (9/24/2008),0.0766,0.0766
2008-11-01,ATI Drivers,6.14.10.6879 (10/27/2008),0.0304,0.0304
2008-11-01,ATI Drivers,7.14.10.503 (6/13/2007),0.0108,0.0108
2008-11-01,ATI Drivers,7.14.10.517 (7/28/2007),0.0124,0.0124
2008-11-01,ATI Drivers,7.14.10.555 (4/15/2008),0.0126,0.0126
2008-11-01,ATI Drivers,7.14.10.567 (4/22/2008),0.0309,0.0309
2008-11-01,ATI Drivers,7.14.10.590 (6/3/2008),-0.0024,0.0189
2008-11-01,ATI Drivers,7.14.10.597 (7/4/2008),-0.0043,0.0108
2008-11-01,ATI Drivers,7.14.10.603 (6/26/2004),0.0115,0.0115
2008-11-01,ATI Drivers,7.14.10.612 (8/21/2008),-0.0218,0.0183
2008-11-01,ATI Drivers,7.14.10.618 (9/24/2008),0.0462,0.0462
2008-11-01,ATI Drivers,7.14.10.621 (10/27/2008),0.0221,0.0221
2008-11-01,ATI Drivers,Other,0.0048,0.2354
2009-01-01,ATI Drivers,6.14.10.6462 (8/4/2004),-0.0051,0.0149
2009-01-01,ATI Drivers,6.14.10.6561 (8/4/2005),-0.0008,0.0139
2009-01-01,ATI Drivers,6.14.10.6587 (12/16/2005),0.0128,0.0128
2009-01-01,ATI Drivers,6.14.10.6614 (5/3/2006),-0.0022,0.0318
2009-01-01,ATI Drivers,6.14.10.6618 (6/7/2006),0.0107,0.0107
2009-01-01,ATI Drivers,6.14.10.6706 (7/31/2007),0.0118,0.0118
2009-01-01,ATI Drivers,6.14.10.6727 (9/29/2007),-0.0036,0.0186
2009-01-01,ATI Drivers,6.14.10.6734 (11/2/2007),0.0126,0.0126
2009-01-01,ATI Drivers,6.14.10.6755 (12/5/2007),-0.0024,0.0139
