date,category,name,change,percentage
2008-11-01,Audio Devices,C-Media Wave Device,-0.0036,0.0305
2008-11-01,Audio Devices,Haut-parleurs (Realtek High Def,0.0003,0.0184
2008-11-01,Audio Devices,Lautsprecher (Realtek High Defi,0.0005,0.0182
2008-11-01,Audio Devices,NVIDIA nForce  Audio,-0.0008,0.0136
2008-11-01,Audio Devices,Other,0.0016,0.3213
2008-11-01,Audio Devices,Realtek AC97 Audio,-0.0052,0.12
2008-11-01,Audio Devices,Realtek HD Audio output,0.0054,0.2066
2008-11-01,Audio Devices,Realtek HD Audio rear output,-0.0006,0.0191
2008-11-01,Audio Devices,SB Audigy 2 ZS Audio,-0.0005,0.0111
2008-11-01,Audio Devices,SB X-Fi Audio,0.0001,0.0231
2008-11-01,Audio Devices,SigmaTel Audio,0.0003,0.0263
2008-11-01,Audio Devices,SoundMAX Digital Audio,-0.0023,0.0398
2008-11-01,Audio Devices,SoundMAX HD Audio,-0.0003,0.0339
2008-11-01,Audio Devices,SoundMAX HD Audio O,0.0001,0.0112
2008-11-01,Audio Devices,Speakers (Creative SB X-Fi),0.0002,0.0121
2008-11-01,Audio Devices,Speakers (High Definition Audio,0.0013,0.0181
2008-11-01,Audio Devices,Speakers (Realtek High Definiti,0.0032,0.0656
2008-11-01,Audio Devices,Speakers / Headphones (SigmaTel,0.0001,0.0109
2009-01-01,Audio Devices,C-Media Wave Device,-0.0017,0.0264
2009-01-01,Audio Devices,Haut-parleurs (Realtek High Def,0.0032,0.0225
2009-01-01,Audio Devices,Lautsprecher (Realtek High Defi,0.0032,0.0227
2009-01-01,Audio Devices,NVIDIA nForce  Audio,0.0,0.0119
2009-01-01,Audio Devices,Other,0.0138,0.3377
2009-01-01,Audio Devices,Realtek AC97 Audio,-0.0081,0.103
2009-01-01,Audio Devices,Realtek HD Audio output,-0.0076,0.2069
2009-01-01,Audio Devices,Realtek HD Audio rear output,0.0002,0.0181
2009-01-01,Audio Devices,SB Audigy 2 ZS Audio,0.0009,0.0109
2009-01-01,Audio Devices,SB X-Fi Audio,0.0021,0.0239
2009-01-01,Audio Devices,SigmaTel Audio,-0.0014,0.0245
2009-01-01,Audio Devices,SoundMAX Digital Audio,-0.005,0.033
2009-01-01,Audio Devices,SoundMAX HD Audio,0.0001,0.0346
2009-01-01,Audio Devices,SoundMAX HD Audio O,-0.0001,0.0106
2009-01-01,Audio Devices,Speakers (Creative SB X-Fi),0.0018,0.0135
2009-01-01,Audio Devices,Speakers (High Definition Audio,0.0005,0.0193
2009-01-01,Audio Devices,Speakers (Realtek High Definiti,0.0085,0.0793
2009-01-01,Audio Devices,Speakers / Headphones (SigmaTel,0.0002,0.0118
2009-02-01,Audio Devices,C-Media Wave Device,-0.001,0.0248
2009-02-01,Audio Devices,Haut-parleurs (Realtek High Def,0.0056,0.0247
2009-02-01,Audio Devices,Lautsprecher (Realtek High Defi,0.0062,0.026
2009-02-01,Audio Devices,NVIDIA nForce  Audio,-0.0005,0.0106
2009-02-01,Audio Devices,Other,-0.0031,0.3311
2009-02-01,Audio Devices,Realtek AC97 Audio,-0.0058,0.0973
2009-02-01,Audio Devices,Realtek HD Audio output,-0.0145,0.2086
2009-02-01,Audio Devices,Realtek HD Audio rear output,0.0,0.017
2009-02-01,Audio Devices,SB Audigy 2 ZS Audio,0.0101,0.0101
2009-02-01,Audio Devices,SB X-Fi Audio,0.003,0.0234
2009-02-01,Audio Devices,SigmaTel Audio,-0.0016,0.0219
2009-02-01,Audio Devices,SoundMAX Digital Audio,-0.0031,0.0312
2009-02-01,Audio Devices,SoundMAX HD Audio,-0.0009,0.0343
2009-02-01,Audio Devices,Speakers (Creative SB X-Fi),0.0013,0.0142
2009-02-01,Audio Devices,Speakers (High Definition Audio,-0.0019,0.0221
2009-02-01,Audio Devices,Speakers (Realtek High Definiti,0.0069,0.0814
2009-02-01,Audio Devices,Speakers (SoundMAX Integrated D,0.0103,0.0103
2009-02-01,Audio Devices,Speakers / Headphones (SigmaTel,-0.0004,0.0109
2009-03-01,Audio Devices,C-Media Wave Device,-0.0012,0.0229
2009-03-01,Audio Devices,Haut-parleurs (Realtek High Def,0.0018,0.0222
2009-03-01,Audio Devices,Lautsprecher (Realtek High Defi,0.0029,0.0237
2009-03-01,Audio Devices,NVIDIA nForce  Audio,0.0101,0.0101
2009-03-01,Audio Devices,Other,0.0059,0.3448
2009-03-01,Audio Devices,Realtek AC97 Audio,-0.0067,0.0899
2009-03-01,Audio Devices,Realtek HD Audio output,-0.0135,0.2099
2009-03-01,Audio Devices,Realtek HD Audio rear output,-0.0004,0.0155
2009-03-01,Audio Devices,SB X-Fi Audio,0.0011,0.0219
2009-03-01,Audio Devices,SigmaTel Audio,0.0004,0.0227
2009-03-01,Audio Devices,SoundMAX Digital Audio,-0.0027,0.0297
