date,category,name,change,percentage
2008-11-01,DirectX 10 GPUs,ATI Mobility Radeon HD 2400,0.0,0.0058
2008-11-01,DirectX 10 GPUs,ATI Mobility Radeon HD 2600,-0.0008,0.0087
2008-11-01,DirectX 10 GPUs,ATI Mobility Radeon HD 3470,0.0012,0.009
2008-11-01,DirectX 10 GPUs,ATI Radeon HD 2400,-0.0014,0.0142
2008-11-01,DirectX 10 GPUs,ATI Radeon HD 2600,-0.0019,0.0264
2008-11-01,DirectX 10 GPUs,ATI Radeon HD 2900,-0.0011,0.0051
2008-11-01,DirectX 10 GPUs,ATI Radeon HD 3200,0.001,0.0046
2008-11-01,DirectX 10 GPUs,ATI Radeon HD 3450,0.0007,0.005
2008-11-01,DirectX 10 GPUs,ATI Radeon HD 3600,0.0002,0.0102
2008-11-01,DirectX 10 GPUs,ATI Radeon HD 3850,0.0006,0.0169
2008-11-01,DirectX 10 GPUs,ATI Radeon HD 3870,-0.0008,0.0246
2008-11-01,DirectX 10 GPUs,ATI Radeon HD 4800 Series,0.0083,0.0653
2008-11-01,DirectX 10 GPUs,Intel Bearlake B Express,0.0012,0.0066
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 8300,-0.0005,0.0038
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 8400,-0.0009,0.0316
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 8400M,-0.0007,0.0237
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 8500,-0.0043,0.0594
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 8600,-0.0119,0.167
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 8600M,-0.0012,0.046
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 8700M,0.0001,0.0035
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 8800,-0.0181,0.2705
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 8800M,-0.0008,0.004
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 9300M,0.0032,0.0032
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 9400,0.0037,0.0037
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 9500,0.0031,0.0122
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 9500M,0.0002,0.0057
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 9600,0.0043,0.0557
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 9600M,0.0029,0.0104
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce 9800,0.0089,0.0535
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce GTX 260,0.0029,0.0148
2008-11-01,DirectX 10 GPUs,NVIDIA GeForce GTX 280,0.0016,0.0122
2008-11-01,DirectX 10 GPUs,Other,-0.0001,0.0164
2009-01-01,DirectX 10 GPUs,ATI Mobility Radeon HD 2400,0.0001,0.0064
2009-01-01,DirectX 10 GPUs,ATI Mobility Radeon HD 2600,-0.001,0.0071
2009-01-01,DirectX 10 GPUs,ATI Mobility Radeon HD 3470,0.0,0.0106
2009-01-01,DirectX 10 GPUs,ATI Radeon HD 2400,0.0011,0.0136
2009-01-01,DirectX 10 GPUs,ATI Radeon HD 2600,-0.0007,0.0232
2009-01-01,DirectX 10 GPUs,ATI Radeon HD 2900,0.0002,0.0051
2009-01-01,DirectX 10 GPUs,ATI Radeon HD 3200,-0.0004,0.0054
2009-01-01,DirectX 10 GPUs,ATI Radeon HD 3450,0.0006,0.0065
2009-01-01,DirectX 10 GPUs,ATI Radeon HD 3600,0.001,0.0118
2009-01-01,DirectX 10 GPUs,ATI Radeon HD 3850,-0.0004,0.0168
2009-01-01,DirectX 10 GPUs,ATI Radeon HD 3870,-0.0011,0.0224
2009-01-01,DirectX 10 GPUs,ATI Radeon HD 4670,0.0017,0.0048
2009-01-01,DirectX 10 GPUs,ATI Radeon HD 4800 Series,0.0091,0.08
2009-01-01,DirectX 10 GPUs,Intel Bearlake B Express,-0.0014,0.0048
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 8400,-0.0031,0.0292
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 8400M,-0.0009,0.0217
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 8500,-0.0072,0.0513
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 8600,-0.0166,0.1455
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 8600M,-0.0019,0.0397
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 8700M,-0.0001,0.0035
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 8800,0.0027,0.2485
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 8800M,-0.0002,0.0037
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 9300M,0.0007,0.005
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 9400,0.0012,0.0078
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 9500,0.0022,0.0209
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 9500M,-0.0005,0.0046
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 9600,0.0013,0.0607
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 9600M,0.0014,0.0133
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce 9800,0.0071,0.0677
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce GTX 260,0.0034,0.0222
2009-01-01,DirectX 10 GPUs,NVIDIA GeForce GTX 280,0.0007,0.0136
2009-01-01,DirectX 10 GPUs,Other,0.0048,0.0229
2009-02-01,DirectX 10 GPUs,ATI Mobility Radeon HD 2400,-0.0003,0.0056
2009-02-01,DirectX 10 GPUs,ATI Mobility Radeon HD 2600,0.0001,0.0073
2009-02-01,DirectX 10 GPUs,ATI Mobility Radeon HD 3470,-0.0005,0.0112
2009-02-01,DirectX 10 GPUs,ATI Radeon HD 2400,-0.0008,0.0113
2009-02-01,DirectX 10 GPUs,ATI Radeon HD 2600,-0.0021,0.0203
2009-02-01,DirectX 10 GPUs,ATI Radeon HD 2900,0.0,0.0044
2009-02-01,DirectX 10 GPUs,ATI Radeon HD 3200,-0.0017,0.0051
2009-02-01,DirectX 10 GPUs,ATI Radeon HD 3450,0.0016,0.0078
2009-02-01,DirectX 10 GPUs,ATI Radeon HD 3600,-0.0004,0.0114
2009-02-01,DirectX 10 GPUs,ATI Radeon HD 3850,-0.0006,0.0159
2009-02-01,DirectX 10 GPUs,ATI Radeon HD 3870,0.0012,0.0218
2009-02-01,DirectX 10 GPUs,ATI Radeon HD 4670,0.0001,0.0055
2009-02-01,DirectX 10 GPUs,ATI Radeon HD 4800 Series,0.0086,0.0903
2009-02-01,DirectX 10 GPUs,Intel Bearlake B Express,-0.001,0.0048
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 8400,-0.0011,0.0287
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 8400M,-0.0018,0.0195
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 8500,-0.0033,0.0501
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 8600,-0.0113,0.1359
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 8600M,-0.0024,0.0358
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 8700M,-0.0001,0.0031
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 8800,0.0017,0.2287
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 8800M,0.0002,0.0038
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 9300M,0.0001,0.0053
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 9400,0.0027,0.011
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 9500,0.0007,0.0258
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 9500M,-0.0002,0.0045
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 9600,-0.0043,0.0621
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 9600M,-0.0006,0.014
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 9800,0.0096,0.0791
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce 9800M,0.0034,0.0034
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce GTX 260,0.0027,0.0251
2009-02-01,DirectX 10 GPUs,NVIDIA GeForce GTX 280,0.0018,0.0161
2009-02-01,DirectX 10 GPUs,Other,-0.0019,0.0255
2009-03-01,DirectX 10 GPUs,ATI Mobility Radeon HD 2400,-0.0006,0.0053
2009-03-01,DirectX 10 GPUs,ATI Mobility Radeon HD 2600,-0.0004,0.0069
2009-03-01,DirectX 10 GPUs,ATI Mobility Radeon HD 3470,-0.0001,0.0121
2009-03-01,DirectX 10 GPUs,ATI Radeon HD 2400,-0.0001,0.0106
2009-03-01,DirectX 10 GPUs,ATI Radeon HD 2600,0.0003,0.0197
2009-03-01,DirectX 10 GPUs,ATI Radeon HD 2900,0.0002,0.0042
2009-03-01,DirectX 10 GPUs,ATI Radeon HD 3200,0.0009,0.0073
2009-03-01,DirectX 10 GPUs,ATI Radeon HD 3450,-0.0007,0.0062
2009-03-01,DirectX 10 GPUs,ATI Radeon HD 3600,-0.0009,0.0104
2009-03-01,DirectX 10 GPUs,ATI Radeon HD 3850,-0.0003,0.0156
2009-03-01,DirectX 10 GPUs,ATI Radeon HD 3870,0.0001,0.0211
2009-03-01,DirectX 10 GPUs,ATI Radeon HD 4670,0.0003,0.0068
2009-03-01,DirectX 10 GPUs,ATI Radeon HD 4800 Series,0.0054,0.0933
2009-03-01,DirectX 10 GPUs,Intel Bearlake B Express,-0.0003,0.0057
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 8200M,0.0031,0.0031
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 8400,-0.0035,0.0262
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 8400M,0.0003,0.0195
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 8500,-0.0049,0.0477
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 8600,-0.0123,0.1248
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 8600M,0.002,0.038
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 8700M,0.0003,0.0035
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 8800,0.0044,0.2182
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 8800M,0.0003,0.0041
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 9300M,0.0002,0.0059
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 9400,0.0003,0.0114
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 9500,-0.0003,0.0272
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 9500M,0.0001,0.0045
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 9600,-0.0035,0.0637
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 9600M,0.0015,0.0167
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 9800,0.0045,0.0822
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce 9800M,0.0001,0.0038
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce GTX 260,0.0022,0.0272
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce GTX 280,0.0009,0.017
2009-03-01,DirectX 10 GPUs,NVIDIA GeForce GTX 285,0.0041,0.0041
2009-03-01,DirectX 10 GPUs,Other,-0.0009,0.0258
2009-04-01,DirectX 10 GPUs,ATI Mobility Radeon HD 2400,-0.0003,0.0049
2009-04-01,DirectX 10 GPUs,ATI Mobility Radeon HD 2600,-0.0005,0.0062
2009-04-01,DirectX 10 GPUs,ATI Mobility Radeon HD 3470,0.0008,0.0128
2009-04-01,DirectX 10 GPUs,ATI Radeon HD 2400,0.0,0.0103
2009-04-01,DirectX 10 GPUs,ATI Radeon HD 2600,-0.0015,0.0176
2009-04-01,DirectX 10 GPUs,ATI Radeon HD 2900,-0.0006,0.0032
2009-04-01,DirectX 10 GPUs,ATI Radeon HD 3200,0.0003,0.0075
2009-04-01,DirectX 10 GPUs,ATI Radeon HD 3450,0.0007,0.007
2009-04-01,DirectX 10 GPUs,ATI Radeon HD 3600,0.0009,0.0114
2009-04-01,DirectX 10 GPUs,ATI Radeon HD 3850,0.0,0.0153
2009-04-01,DirectX 10 GPUs,ATI Radeon HD 3870,-0.0017,0.0183
2009-04-01,DirectX 10 GPUs,ATI Radeon HD 4650,0.0032,0.0032
2009-04-01,DirectX 10 GPUs,ATI Radeon HD 4670,0.0009,0.0078
2009-04-01,DirectX 10 GPUs,ATI Radeon HD 4800 Series,0.0052,0.0946
2009-04-01,DirectX 10 GPUs,Mobile Intel 4 Series Express,0.0017,0.0098
2009-04-01,DirectX 10 GPUs,Mobile Intel 965 Express,-0.0014,0.0224
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 8200M,0.0002,0.0032
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 8400,0.0,0.0268
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 8400M,-0.0017,0.017
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 8500,-0.0034,0.0455
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 8600,-0.0058,0.1182
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 8600M,-0.0037,0.0321
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 8700M,0.0001,0.0033
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 8800,-0.0094,0.1913
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 8800M,-0.0004,0.0035
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 9200M,0.0005,0.0037
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 9300M,0.0006,0.0067
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 9400,0.0018,0.0135
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 9500,0.0027,0.0304
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 9500M,-0.0001,0.0041
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 9600,0.0037,0.0689
2009-04-01,DirectX 10 GPUs,NVIDIA GeForce 9600M,0.0016,0.0179
