date,category,name,change,percentage
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility FireGL V5725,0.0,0.0006
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon 4100,-0.0001,0.0001
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 2400,-0.0001,0.002
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 2600,-0.0001,0.0022
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 3430,0.0,0.0006
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 3470,0.0001,0.0071
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 3650,0.0,0.0043
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 3850,0.0,0.0
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 3850 X2,0.0,0.0
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 3870,0.0,0.0004
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 4200,0.0002,0.0014
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 4300,0.0001,0.0016
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 4550,0.0,0.0
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 4570,0.0002,0.0081
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 4650,-0.0001,0.006
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 4670,0.0001,0.0013
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 4830,-0.0001,0.0
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 4850,0.0001,0.0005
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 4870,0.0001,0.0002
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 5470,0.0001,0.0002
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 5650,0.0002,0.0002
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 5730,0.0001,0.0001
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 5800 Series,0.0001,0.0001
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Mobility Radeon HD 5870,0.0001,0.0001
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon 2100,-0.0001,0.0003
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon 3100,0.0,0.0013
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 2350,-0.0001,0.0001
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 2400,-0.0003,0.0023
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 2600,0.0002,0.0034
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 2900,-0.0001,0.0007
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 3200,0.0002,0.0068
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 3300,-0.0001,0.0002
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 3450,-0.0002,0.0025
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 3470,-0.0001,0.0
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 3600 Series,0.0,0.0035
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 3650,0.0,0.0002
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 3850,0.0,0.0033
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 3870,0.0001,0.0059
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 4200,-0.0001,0.0005
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 4350,0.0005,0.0039
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 4550,0.0,0.0007
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 4600 Series,0.0,0.0002
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 4650,0.0001,0.0052
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 4670,0.0007,0.0057
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 4700 Series,0.0,0.0002
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 4770,0.0,0.0016
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 4800 Series,0.0059,0.0649
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 5450,0.0001,0.0001
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 5500 Series,0.0,0.0
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 5600 Series,0.0002,0.0002
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 5700 Series,0.0046,0.0124
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 5800 Series,0.0058,0.0154
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),ATI Radeon HD 5900 Series,0.0003,0.0008
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),Intel G35 Express,0.0,0.0
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),Intel G41 Express,0.0001,0.0004
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),Intel G45/G43 Express,0.0,0.0007
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),Intel Q45/Q43 Express,0.0,0.0
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),Mobile Intel 4 Series Express,-0.0008,0.0139
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),Mobile Intel 965 Express,-0.0007,0.007
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 210,0.0001,0.0003
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 310,0.0,0.0
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 310M,0.0003,0.0003
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 8100,0.0,0.0001
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 8200,0.0,0.0012
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 8200M,-0.0005,0.0021
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 8300,-0.0001,0.0005
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 8400,0.0001,0.005
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 8400M,-0.0007,0.007
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 8500,-0.0002,0.0071
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 8600,-0.0004,0.0201
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 8600M,0.0,0.0121
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 8700M,-0.0004,0.0011
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 8800,0.0029,0.0536
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 8800M,0.0002,0.0015
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 9100,0.0002,0.0009
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 9100M,0.0001,0.0004
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 9200,0.0,0.0001
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 9200M,0.0002,0.0023
2010-02-01,DirectX 10 Systems (Vista/Win7 & DX 10 GPU),NVIDIA GeForce 9300,0.0,0.0005
