date,category,name,change,percentage
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,ATI Mobility Radeon 9600/9650/9700,-0.0011,0.0202
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,ATI Mobility Radeon X300,0.0028,0.0129
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,ATI Mobility Radeon X600,0.0008,0.0155
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon 9500/9700,0.0003,0.0199
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon 9550,-0.0012,0.0952
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon 9600,-0.003,0.2018
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon 9800,-0.0023,0.0645
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon X300,-0.0054,0.0837
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon X550,0.0001,0.0457
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon X600,0.0005,0.0699
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,Intel 82915G Express,0.0048,0.0433
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,Intel 82945G Express,0.0011,0.1011
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,Intel 852/855,0.0006,0.0153
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,Mobile Intel 945 Express,0.0003,0.0129
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,Mobile Intel 945GM Express,0.0063,0.1037
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,Other,0.0025,0.0138
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,VIA Chrome9 HC IGP,-0.005,0.0238
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,VIA/S3G UniChrome Pro IGP,-0.0012,0.0422
2008-11-01,DirectX 9 Shader Model 2.0 GPUs,VIA/S3G UniChromeII Graphics,-0.0009,0.0146
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,ATI Mobility Radeon 9600/9650/9700,-0.0002,0.0241
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,ATI Mobility Radeon X300,0.0019,0.0137
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,ATI Mobility Radeon X600,0.0013,0.0163
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon 9500/9700,-0.0002,0.0193
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon 9550,0.0007,0.1043
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon 9600,0.0269,0.216
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon 9800,0.0096,0.0685
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon X300,0.0084,0.1
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon X550,0.0058,0.0481
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon X600,0.0117,0.0826
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,Intel 82915G Express,-0.0099,0.0341
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,Intel 82945G Express,-0.0218,0.0777
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,Intel 852/855,-0.0041,0.0119
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,Mobile Intel 945 Express,0.0022,0.0212
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,Mobile Intel 945GM Express,-0.0043,0.102
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,Other,-0.0047,0.008
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,VIA Chrome9 HC IGP,-0.0061,0.0206
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,VIA/S3G UniChrome Pro IGP,-0.0136,0.0212
2009-01-01,DirectX 9 Shader Model 2.0 GPUs,VIA/S3G UniChromeII Graphics,-0.0035,0.0106
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,ATI Mobility Radeon 9600/9650/9700,-0.0032,0.0198
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,ATI Mobility Radeon X600,-0.0019,0.0153
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon 9500/9700,-0.0015,0.0184
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon 9550,0.006,0.106
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon 9600,0.0244,0.2227
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon 9800,0.0078,0.0675
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon X300,0.0144,0.1017
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon X550,-0.0014,0.0432
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,ATI Radeon X600,0.0244,0.0964
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,Intel 82915G Express,-0.0071,0.0325
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,Intel 82945G Express,-0.0147,0.0853
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,Mobile Intel 945 Express,-0.0089,0.0158
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,Mobile Intel 945GM Express,-0.0208,0.0901
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,Other,0.015,0.0266
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,VIA Chrome9 HC IGP,-0.0026,0.0203
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,VIA/S3G UniChrome Pro IGP,-0.0031,0.0271
2009-02-01,DirectX 9 Shader Model 2.0 GPUs,VIA/S3G UniChromeII Graphics,-0.0003,0.0113
