date,category,name,change,percentage
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Mobility Radeon X1400,0.0003,0.0088
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Mobility Radeon X1600,0.001,0.0091
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1300,0.0025,0.0321
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1550,-0.0006,0.0109
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1600,0.0003,0.0401
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1650,-0.0014,0.0251
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1800,0.0006,0.0053
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1900,-0.0007,0.0121
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1950,-0.0008,0.046
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X700,-0.0009,0.0177
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X800,-0.001,0.0325
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X850,0.0004,0.0047
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,Mobile Intel 965 Express,0.0054,0.0474
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 6100,0.0011,0.0435
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 6150,-0.001,0.0122
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 6200,-0.001,0.0593
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 6600,-0.0076,0.0836
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 6800,-0.0019,0.0377
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7000M,0.0007,0.0064
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7050,0.0047,0.0047
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7100,0.0015,0.011
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7300,0.0001,0.0999
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7500,0.0004,0.0153
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7600,0.0019,0.1323
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7800,0.0012,0.0369
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7900,-0.0006,0.0484
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7950,-0.0011,0.0249
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce Go 6100,-0.0001,0.0043
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce Go 6150,0.0002,0.0064
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce Go 7300,-0.0003,0.0134
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce Go 7400,0.0005,0.0094
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce Go 7600,0.0009,0.017
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce Go 7900,-0.0001,0.0059
2008-11-01,DirectX 9 Shader Model 2b and 3.0 GPUs,Other,-0.0042,0.0358
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Mobility Radeon X1400,0.0007,0.0097
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Mobility Radeon X1600,0.0001,0.0089
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1300,-0.0007,0.0302
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1550,0.0001,0.0111
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1600,0.0009,0.0419
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1650,-0.0005,0.0267
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1800,0.0023,0.0068
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1900,0.0024,0.0136
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1950,0.0029,0.0487
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X700,0.002,0.0189
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X800,0.0042,0.0349
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X850,-0.0004,0.0046
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,Mobile Intel 965 Express,-0.006,0.0442
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 6100,0.0004,0.0429
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 6150,0.0001,0.0127
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 6200,-0.0026,0.0562
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 6600,-0.0036,0.0813
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 6800,-0.0017,0.0364
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7000M,-0.0006,0.0054
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7050,0.0,0.0049
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7100,0.0007,0.012
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7300,-0.0043,0.0972
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7500,-0.001,0.0137
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7600,0.0034,0.1334
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7650,-0.0004,0.004
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7800,0.0018,0.0373
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7900,0.0013,0.0497
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce 7950,0.0003,0.0242
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce Go 6100,0.0042,0.0042
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce Go 6150,0.0002,0.0055
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce Go 7300,0.0,0.0132
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce Go 7400,-0.0002,0.0089
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce Go 7600,0.0,0.0168
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,NVIDIA GeForce Go 7900,0.0001,0.0067
2009-01-01,DirectX 9 Shader Model 2b and 3.0 GPUs,Other,-0.0021,0.0372
2009-02-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Mobility Radeon X1400,0.0001,0.0095
2009-02-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Mobility Radeon X1600,-0.0008,0.0079
2009-02-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1300,0.0047,0.0334
2009-02-01,DirectX 9 Shader Model 2b and 3.0 GPUs,ATI Radeon X1550,0.0005,0.0115
