date,category,name,change,percentage
2008-11-01,Drive Type,CD-Rom,-0.0018,0.0198
2008-11-01,Drive Type,DVD,0.0026,0.9615
2008-11-01,Drive Type,Undetermined,-0.0008,0.0187
2009-01-01,Drive Type,CD-Rom,-0.0054,0.0133
2009-01-01,Drive Type,DVD,0.0114,0.9715
2009-01-01,Drive Type,Undetermined,-0.0061,0.0151
2009-02-01,Drive Type,CD-Rom,-0.0057,0.0121
2009-02-01,Drive Type,DVD,0.0145,0.9736
2009-02-01,Drive Type,Undetermined,-0.0087,0.0144
2009-03-01,Drive Type,CD-Rom,-0.0041,0.0133
2009-03-01,Drive Type,DVD,0.0107,0.9684
2009-03-01,Drive Type,Undetermined,-0.0066,0.0184
2009-04-01,Drive Type,CD-Rom,-0.0013,0.0143
2009-04-01,Drive Type,DVD,0.0029,0.9646
2009-04-01,Drive Type,Undetermined,-0.0017,0.0211
2009-05-01,Drive Type,CD-Rom,-0.0015,0.0128
2009-05-01,Drive Type,DVD,0.004,0.9686
2009-05-01,Drive Type,Undetermined,-0.0025,0.0186
2009-06-01,Drive Type,CD-Rom,-0.006,0.0084
2009-06-01,Drive Type,DVD,0.016,0.979
2009-06-01,Drive Type,Undetermined,-0.0101,0.0125
2009-07-01,Drive Type,CD-Rom,0.0001,0.0085
2009-07-01,Drive Type,DVD,-0.0553,0.9237
2009-07-01,Drive Type,Undetermined,-0.0004,0.0121
2009-08-01,Drive Type,CD-Rom,-0.001,0.0124
2009-08-01,Drive Type,DVD,0.0001,0.9679
2009-08-01,Drive Type,Undetermined,0.0007,0.0196
2009-09-01,Drive Type,CD-Rom,-0.0008,0.0116
2009-09-01,Drive Type,DVD,0.0015,0.9694
2009-09-01,Drive Type,Undetermined,-0.0005,0.0191
2009-10-01,Drive Type,CD-Rom,-0.0001,0.0115
2009-10-01,Drive Type,DVD,-0.0011,0.9683
2009-10-01,Drive Type,Undetermined,0.001,0.0201
2009-11-01,Drive Type,CD-Rom,-0.0016,0.0099
2009-11-01,Drive Type,DVD,0.0011,0.9694
2009-11-01,Drive Type,Undetermined,0.0006,0.0207
2009-12-01,Drive Type,CD-Rom,-0.003,0.0069
2009-12-01,Drive Type,DVD,0.0104,0.9798
2009-12-01,Drive Type,Undetermined,-0.0074,0.0133
2010-01-01,Drive Type,CD-Rom,-0.0009,0.0091
2010-01-01,Drive Type,DVD,0.0002,0.9693
2010-01-01,Drive Type,Undetermined,0.0008,0.0217
2010-02-01,Drive Type,CD-Rom,0.0,0.0091
2010-02-01,Drive Type,DVD,0.0006,0.9699
2010-02-01,Drive Type,Undetermined,-0.0007,0.021
2010-03-01,Drive Type,CD-Rom,-0.0011,0.008
2010-03-01,Drive Type,DVD,0.002,0.9713
2010-03-01,Drive Type,Undetermined,-0.001,0.0207
2010-05-01,Drive Type,CD-Rom,-0.0009,0.0068
2010-05-01,Drive Type,DVD,0.0037,0.976
2010-05-01,Drive Type,Undetermined,-0.0029,0.0171
