date,category,name,change,percentage
2008-11-01,Free Hard Drive Space,10 GB to  99 GB,-0.0011,0.4804
2008-11-01,Free Hard Drive Space,100 GB to 249 GB,-0.0029,0.2945
2008-11-01,Free Hard Drive Space,250 GB to 499 GB,0.0013,0.1205
2008-11-01,Free Hard Drive Space,500 GB to 749 GB,0.0018,0.0188
2008-11-01,Free Hard Drive Space,750 GB to 999 GB,0.0008,0.0069
2008-11-01,Free Hard Drive Space,Above 1 TB,0.0001,0.001
2008-11-01,Free Hard Drive Space,Less than 10 GB,0.0,0.0779
2009-01-01,Free Hard Drive Space,10 GB to  99 GB,-0.0179,0.45
2009-01-01,Free Hard Drive Space,100 GB to 249 GB,0.0068,0.3059
2009-01-01,Free Hard Drive Space,250 GB to 499 GB,0.0089,0.1357
2009-01-01,Free Hard Drive Space,500 GB to 749 GB,0.0028,0.024
2009-01-01,Free Hard Drive Space,750 GB to 999 GB,0.0021,0.0109
2009-01-01,Free Hard Drive Space,Above 1 TB,0.0001,0.0015
2009-01-01,Free Hard Drive Space,Less than 10 GB,-0.0029,0.0719
2009-02-01,Free Hard Drive Space,10 GB to  99 GB,-0.0221,0.4367
2009-02-01,Free Hard Drive Space,100 GB to 249 GB,0.0106,0.309
2009-02-01,Free Hard Drive Space,250 GB to 499 GB,0.0138,0.1467
2009-02-01,Free Hard Drive Space,500 GB to 749 GB,0.0011,0.0264
2009-02-01,Free Hard Drive Space,750 GB to 999 GB,-0.0005,0.012
2009-02-01,Free Hard Drive Space,Above 1 TB,-0.0001,0.0019
2009-02-01,Free Hard Drive Space,Less than 10 GB,-0.0031,0.0671
2009-03-01,Free Hard Drive Space,10 GB to  99 GB,-0.0145,0.4345
2009-03-01,Free Hard Drive Space,100 GB to 249 GB,0.0063,0.3065
2009-03-01,Free Hard Drive Space,250 GB to 499 GB,0.0064,0.146
2009-03-01,Free Hard Drive Space,500 GB to 749 GB,0.0033,0.0305
2009-03-01,Free Hard Drive Space,750 GB to 999 GB,0.0008,0.0143
2009-03-01,Free Hard Drive Space,Above 1 TB,0.0,0.0024
2009-03-01,Free Hard Drive Space,Less than 10 GB,-0.0024,0.0657
2009-04-01,Free Hard Drive Space,10 GB to  99 GB,-0.0098,0.4308
2009-04-01,Free Hard Drive Space,100 GB to 249 GB,0.0032,0.3068
2009-04-01,Free Hard Drive Space,250 GB to 499 GB,0.0035,0.1469
2009-04-01,Free Hard Drive Space,500 GB to 749 GB,0.0018,0.0316
2009-04-01,Free Hard Drive Space,750 GB to 999 GB,0.0011,0.0162
2009-04-01,Free Hard Drive Space,Above 1 TB,0.0003,0.003
2009-04-01,Free Hard Drive Space,Less than 10 GB,-0.0001,0.0647
2009-05-01,Free Hard Drive Space,10 GB to  99 GB,-0.0098,0.421
2009-05-01,Free Hard Drive Space,100 GB to 249 GB,-0.0005,0.3063
2009-05-01,Free Hard Drive Space,250 GB to 499 GB,0.0073,0.1542
2009-05-01,Free Hard Drive Space,500 GB to 749 GB,0.0013,0.0329
2009-05-01,Free Hard Drive Space,750 GB to 999 GB,0.0011,0.0173
2009-05-01,Free Hard Drive Space,Above 1 TB,0.0006,0.0036
2009-05-01,Free Hard Drive Space,Less than 10 GB,0.0001,0.0648
2009-06-01,Free Hard Drive Space,10 GB to  99 GB,-0.0068,0.4233
2009-06-01,Free Hard Drive Space,100 GB to 249 GB,0.0077,0.3086
2009-06-01,Free Hard Drive Space,250 GB to 499 GB,0.0022,0.1526
2009-06-01,Free Hard Drive Space,500 GB to 749 GB,-0.0017,0.0308
2009-06-01,Free Hard Drive Space,750 GB to 999 GB,-0.0026,0.0159
2009-06-01,Free Hard Drive Space,Above 1 TB,-0.0014,0.0023
2009-06-01,Free Hard Drive Space,Less than 10 GB,0.0025,0.0664
2009-07-01,Free Hard Drive Space,10 GB to  99 GB,-0.0316,0.3917
2009-07-01,Free Hard Drive Space,100 GB to 249 GB,-0.0179,0.2907
2009-07-01,Free Hard Drive Space,250 GB to 499 GB,-0.0047,0.1479
2009-07-01,Free Hard Drive Space,500 GB to 749 GB,0.0015,0.0323
2009-07-01,Free Hard Drive Space,750 GB to 999 GB,0.0015,0.0174
2009-07-01,Free Hard Drive Space,Above 1 TB,0.0003,0.0026
2009-07-01,Free Hard Drive Space,Less than 10 GB,-0.0048,0.0616
2009-08-01,Free Hard Drive Space,10 GB to  99 GB,-0.0052,0.4047
2009-08-01,Free Hard Drive Space,100 GB to 249 GB,-0.0001,0.303
2009-08-01,Free Hard Drive Space,250 GB to 499 GB,0.004,0.1634
2009-08-01,Free Hard Drive Space,500 GB to 749 GB,0.0028,0.042
2009-08-01,Free Hard Drive Space,750 GB to 999 GB,0.0018,0.0247
2009-08-01,Free Hard Drive Space,Above 1 TB,0.0003,0.0047
2009-08-01,Free Hard Drive Space,Less than 10 GB,-0.0036,0.0575
2009-09-01,Free Hard Drive Space,10 GB to  99 GB,-0.0113,0.3934
2009-09-01,Free Hard Drive Space,100 GB to 249 GB,0.0017,0.3047
2009-09-01,Free Hard Drive Space,250 GB to 499 GB,0.0067,0.1701
2009-09-01,Free Hard Drive Space,500 GB to 749 GB,0.0015,0.0435
