date,category,name,change,percentage
2008-11-01,Intel CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0001,0.0067
2008-11-01,Intel CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.0004,0.0357
2008-11-01,Intel CPU Speeds,1.7 Ghz to 1.99 Ghz,0.0041,0.0969
2008-11-01,Intel CPU Speeds,2.0 Ghz to 2.29 Ghz,0.0016,0.065
2008-11-01,Intel CPU Speeds,2.3 Ghz to 2.69 Ghz,0.0034,0.2
2008-11-01,Intel CPU Speeds,2.7 Ghz to 2.99 Ghz,0.0004,0.0964
2008-11-01,Intel CPU Speeds,3.0 Ghz to 3.29 Ghz,0.0002,0.104
2008-11-01,Intel CPU Speeds,3.3 Ghz to 3.69 Ghz,0.0002,0.0264
2008-11-01,Intel CPU Speeds,3.7 Ghz and above,0.0006,0.0046
2008-11-01,Intel CPU Speeds,Below 1.4 Ghz,-0.0005,0.0068
2009-01-01,Intel CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0004,0.0065
2009-01-01,Intel CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.0045,0.0311
2009-01-01,Intel CPU Speeds,1.7 Ghz to 1.99 Ghz,-0.0066,0.0928
2009-01-01,Intel CPU Speeds,2.0 Ghz to 2.29 Ghz,0.0006,0.0665
2009-01-01,Intel CPU Speeds,2.3 Ghz to 2.69 Ghz,0.0063,0.212
2009-01-01,Intel CPU Speeds,2.7 Ghz to 2.99 Ghz,0.0032,0.0972
2009-01-01,Intel CPU Speeds,3.0 Ghz to 3.29 Ghz,0.0012,0.1032
2009-01-01,Intel CPU Speeds,3.3 Ghz to 3.69 Ghz,0.0007,0.0265
2009-01-01,Intel CPU Speeds,3.7 Ghz and above,0.0004,0.0054
2009-01-01,Intel CPU Speeds,Below 1.4 Ghz,-0.0013,0.0052
2009-02-01,Intel CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0007,0.0058
2009-02-01,Intel CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.005,0.0289
2009-02-01,Intel CPU Speeds,1.7 Ghz to 1.99 Ghz,-0.0065,0.0908
2009-02-01,Intel CPU Speeds,2.0 Ghz to 2.29 Ghz,-0.0023,0.0655
2009-02-01,Intel CPU Speeds,2.3 Ghz to 2.69 Ghz,0.012,0.2227
2009-02-01,Intel CPU Speeds,2.7 Ghz to 2.99 Ghz,-0.0004,0.0946
2009-02-01,Intel CPU Speeds,3.0 Ghz to 3.29 Ghz,0.0049,0.1055
2009-02-01,Intel CPU Speeds,3.3 Ghz to 3.69 Ghz,0.0011,0.0267
2009-02-01,Intel CPU Speeds,3.7 Ghz and above,0.0009,0.0063
2009-02-01,Intel CPU Speeds,Below 1.4 Ghz,-0.0023,0.0039
2009-03-01,Intel CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0004,0.0058
2009-03-01,Intel CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.0022,0.03
2009-03-01,Intel CPU Speeds,1.7 Ghz to 1.99 Ghz,-0.0023,0.095
2009-03-01,Intel CPU Speeds,2.0 Ghz to 2.29 Ghz,0.0003,0.0695
2009-03-01,Intel CPU Speeds,2.3 Ghz to 2.69 Ghz,0.0105,0.229
2009-03-01,Intel CPU Speeds,2.7 Ghz to 2.99 Ghz,-0.0005,0.0942
2009-03-01,Intel CPU Speeds,3.0 Ghz to 3.29 Ghz,0.0002,0.1021
2009-03-01,Intel CPU Speeds,3.3 Ghz to 3.69 Ghz,0.0003,0.0263
2009-03-01,Intel CPU Speeds,3.7 Ghz and above,0.0001,0.006
2009-03-01,Intel CPU Speeds,Below 1.4 Ghz,-0.0011,0.0046
2009-04-01,Intel CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0005,0.0054
2009-04-01,Intel CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.001,0.0307
2009-04-01,Intel CPU Speeds,1.7 Ghz to 1.99 Ghz,-0.0005,0.0963
2009-04-01,Intel CPU Speeds,2.0 Ghz to 2.29 Ghz,0.0009,0.0717
2009-04-01,Intel CPU Speeds,2.3 Ghz to 2.69 Ghz,0.0028,0.2266
2009-04-01,Intel CPU Speeds,2.7 Ghz to 2.99 Ghz,0.003,0.0974
2009-04-01,Intel CPU Speeds,3.0 Ghz to 3.29 Ghz,-0.0011,0.0997
2009-04-01,Intel CPU Speeds,3.3 Ghz to 3.69 Ghz,-0.0002,0.0259
2009-04-01,Intel CPU Speeds,3.7 Ghz and above,0.0005,0.0064
2009-04-01,Intel CPU Speeds,Below 1.4 Ghz,-0.0006,0.0047
2009-05-01,Intel CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0004,0.005
2009-05-01,Intel CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.0017,0.029
2009-05-01,Intel CPU Speeds,1.7 Ghz to 1.99 Ghz,-0.0009,0.0954
2009-05-01,Intel CPU Speeds,2.0 Ghz to 2.29 Ghz,-0.0012,0.0705
2009-05-01,Intel CPU Speeds,2.3 Ghz to 2.69 Ghz,0.0086,0.2352
2009-05-01,Intel CPU Speeds,2.7 Ghz to 2.99 Ghz,-0.0016,0.0958
2009-05-01,Intel CPU Speeds,3.0 Ghz to 3.29 Ghz,0.0016,0.1013
2009-05-01,Intel CPU Speeds,3.3 Ghz to 3.69 Ghz,0.0007,0.0266
2009-05-01,Intel CPU Speeds,3.7 Ghz and above,0.0,0.0064
2009-05-01,Intel CPU Speeds,Below 1.4 Ghz,-0.0006,0.0041
2009-06-01,Intel CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0014,0.0038
2009-06-01,Intel CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.0069,0.024
2009-06-01,Intel CPU Speeds,1.7 Ghz to 1.99 Ghz,-0.0145,0.0855
2009-06-01,Intel CPU Speeds,2.0 Ghz to 2.29 Ghz,-0.0021,0.0692
2009-06-01,Intel CPU Speeds,2.3 Ghz to 2.69 Ghz,0.014,0.2469
2009-06-01,Intel CPU Speeds,2.7 Ghz to 2.99 Ghz,0.0058,0.1015
2009-06-01,Intel CPU Speeds,3.0 Ghz to 3.29 Ghz,0.0062,0.1046
2009-06-01,Intel CPU Speeds,3.3 Ghz to 3.69 Ghz,-0.0003,0.0258
2009-06-01,Intel CPU Speeds,3.7 Ghz and above,0.0006,0.0068
2009-06-01,Intel CPU Speeds,Below 1.4 Ghz,-0.0019,0.0032
2009-07-01,Intel CPU Speeds,1.4 Ghz to 1.49 Ghz,0.0002,0.004
2009-07-01,Intel CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.001,0.023
2009-07-01,Intel CPU Speeds,1.7 Ghz to 1.99 Ghz,0.0002,0.0857
2009-07-01,Intel CPU Speeds,2.0 Ghz to 2.29 Ghz,-0.0032,0.066
2009-07-01,Intel CPU Speeds,2.3 Ghz to 2.69 Ghz,-0.0145,0.2324
2009-07-01,Intel CPU Speeds,2.7 Ghz to 2.99 Ghz,-0.0087,0.0928
2009-07-01,Intel CPU Speeds,3.0 Ghz to 3.29 Ghz,-0.0083,0.0963
2009-07-01,Intel CPU Speeds,3.3 Ghz to 3.69 Ghz,0.0005,0.0263
2009-07-01,Intel CPU Speeds,3.7 Ghz and above,0.0,0.0068
2009-07-01,Intel CPU Speeds,Below 1.4 Ghz,-0.0004,0.0028
2009-08-01,Intel CPU Speeds,1.4 Ghz to 1.49 Ghz,-0.0002,0.0049
2009-08-01,Intel CPU Speeds,1.5 Ghz to 1.69 Ghz,-0.001,0.028
2009-08-01,Intel CPU Speeds,1.7 Ghz to 1.99 Ghz,0.0021,0.0978
2009-08-01,Intel CPU Speeds,2.0 Ghz to 2.29 Ghz,0.0008,0.0736
2009-08-01,Intel CPU Speeds,2.3 Ghz to 2.69 Ghz,-0.0011,0.2418
2009-08-01,Intel CPU Speeds,2.7 Ghz to 2.99 Ghz,0.0006,0.0994
2009-08-01,Intel CPU Speeds,3.0 Ghz to 3.29 Ghz,-0.0013,0.0966
2009-08-01,Intel CPU Speeds,3.3 Ghz to 3.69 Ghz,0.0,0.0258
