date,category,name,change,percentage
2008-11-01,Language,Danish,0.0003,0.0114
2008-11-01,Language,Dutch,0.0003,0.0054
2008-11-01,Language,English,-0.0068,0.5988
2008-11-01,Language,Finnish,-0.0001,0.0061
2008-11-01,Language,French,-0.0031,0.0812
2008-11-01,Language,German,-0.0043,0.0837
2008-11-01,Language,Italian,0.0013,0.0059
2008-11-01,Language,Japanese,0.0022,0.008
2008-11-01,Language,Korean,0.0022,0.0106
2008-11-01,Language,Norwegian,-0.0001,0.0065
2008-11-01,Language,Polish,0.0003,0.02
2008-11-01,Language,Portuguese,-0.002,0.0272
2008-11-01,Language,Russian,0.0088,0.0646
2008-11-01,Language,Simplified Chinese,0.0023,0.0079
2008-11-01,Language,Spanish,-0.0001,0.0281
2008-11-01,Language,Swedish,-0.0011,0.0182
2008-11-01,Language,Thai,0.0002,0.001
2008-11-01,Language,Traditional Chinese,-0.0008,0.0129
2008-11-01,Language,Unknown,0.0001,0.001
2009-01-01,Language,Danish,0.0013,0.0127
2009-01-01,Language,Dutch,0.0008,0.0059
2009-01-01,Language,English,-0.0139,0.5782
2009-01-01,Language,Finnish,0.0012,0.0071
2009-01-01,Language,French,0.0124,0.0926
2009-01-01,Language,German,0.0142,0.0978
2009-01-01,Language,Italian,0.0,0.0055
2009-01-01,Language,Japanese,-0.0018,0.0064
2009-01-01,Language,Korean,-0.0063,0.0076
2009-01-01,Language,Norwegian,0.0001,0.0069
2009-01-01,Language,Polish,0.0053,0.0251
2009-01-01,Language,Portuguese,0.0,0.0259
2009-01-01,Language,Russian,-0.0019,0.062
2009-01-01,Language,Simplified Chinese,-0.0049,0.0063
2009-01-01,Language,Spanish,-0.0007,0.0255
2009-01-01,Language,Swedish,0.0005,0.0197
2009-01-01,Language,Thai,-0.0002,0.0007
2009-01-01,Language,Traditional Chinese,-0.0067,0.011
2009-01-01,Language,Unknown,0.0003,0.0013
2009-02-01,Language,Danish,0.0026,0.0138
2009-02-01,Language,Dutch,0.0008,0.006
2009-02-01,Language,English,-0.0237,0.5637
2009-02-01,Language,Finnish,0.0016,0.0073
2009-02-01,Language,French,0.0155,0.0926
2009-02-01,Language,German,0.0174,0.1005
2009-02-01,Language,Italian,0.0005,0.0058
2009-02-01,Language,Japanese,-0.0028,0.0055
2009-02-01,Language,Korean,-0.0088,0.0066
2009-02-01,Language,Norwegian,0.0006,0.0069
2009-02-01,Language,Polish,0.0089,0.0286
2009-02-01,Language,Portuguese,0.0001,0.0261
2009-02-01,Language,Russian,0.0016,0.0688
2009-02-01,Language,Simplified Chinese,-0.0076,0.0064
2009-02-01,Language,Spanish,-0.0019,0.0237
2009-02-01,Language,Swedish,0.0037,0.022
2009-02-01,Language,Thai,-0.0008,0.0005
2009-02-01,Language,Traditional Chinese,-0.0089,0.0113
2009-02-01,Language,Unknown,0.0006,0.0017
2009-03-01,Language,Danish,0.0007,0.0119
2009-03-01,Language,Dutch,0.0004,0.0057
2009-03-01,Language,English,0.0047,0.5898
2009-03-01,Language,Finnish,0.0005,0.006
2009-03-01,Language,French,0.0068,0.0835
2009-03-01,Language,German,0.0101,0.093
2009-03-01,Language,Italian,0.0009,0.007
2009-03-01,Language,Japanese,-0.0021,0.0057
2009-03-01,Language,Korean,-0.0089,0.0078
2009-03-01,Language,Norwegian,0.0004,0.0068
2009-03-01,Language,Polish,0.0023,0.0228
2009-03-01,Language,Portuguese,-0.002,0.0222
2009-03-01,Language,Russian,-0.0017,0.0713
2009-03-01,Language,Simplified Chinese,-0.0059,0.0071
2009-03-01,Language,Spanish,0.0008,0.0247
2009-03-01,Language,Swedish,0.0,0.0189
2009-03-01,Language,Thai,-0.0004,0.0007
2009-03-01,Language,Traditional Chinese,-0.0072,0.0113
2009-03-01,Language,Unknown,-0.0001,0.0013
2009-04-01,Language,Danish,0.0007,0.0116
2009-04-01,Language,Dutch,-0.0003,0.0052
2009-04-01,Language,English,-0.0038,0.5865
2009-04-01,Language,Finnish,0.0002,0.0057
2009-04-01,Language,French,0.0005,0.078
2009-04-01,Language,German,-0.0019,0.0859
2009-04-01,Language,Italian,-0.0004,0.0065
2009-04-01,Language,Japanese,0.0023,0.0092
2009-04-01,Language,Korean,0.0005,0.0117
2009-04-01,Language,Norwegian,-0.0012,0.0051
2009-04-01,Language,Polish,0.0009,0.0217
2009-04-01,Language,Portuguese,0.0014,0.0239
2009-04-01,Language,Russian,-0.0008,0.0749
2009-04-01,Language,Simplified Chinese,-0.0007,0.009
2009-04-01,Language,Spanish,0.0011,0.0269
2009-04-01,Language,Swedish,-0.0008,0.0173
2009-04-01,Language,Thai,-0.0001,0.0008
2009-04-01,Language,Traditional Chinese,0.0018,0.016
2009-04-01,Language,Unknown,0.0003,0.0015
2009-05-01,Language,Danish,0.0004,0.012
2009-05-01,Language,Dutch,0.0002,0.0054
2009-05-01,Language,English,0.0077,0.5942
2009-05-01,Language,Finnish,0.0001,0.0058
2009-05-01,Language,French,0.0044,0.0824
2009-05-01,Language,German,0.0015,0.0874
2009-05-01,Language,Italian,-0.0008,0.0057
2009-05-01,Language,Japanese,-0.0005,0.0087
2009-05-01,Language,Korean,-0.0004,0.0113
2009-05-01,Language,Norwegian,0.0001,0.0052
2009-05-01,Language,Polish,0.0022,0.0239
2009-05-01,Language,Portuguese,-0.0001,0.0238
2009-05-01,Language,Russian,-0.0128,0.0621
2009-05-01,Language,Simplified Chinese,-0.0024,0.0066
2009-05-01,Language,Spanish,-0.0022,0.0247
2009-05-01,Language,Swedish,0.0012,0.0185
2009-05-01,Language,Thai,0.0,0.0008
2009-05-01,Language,Traditional Chinese,0.0011,0.0171
2009-05-01,Language,Unknown,0.0001,0.0016
2009-06-01,Language,Danish,0.0031,0.0143
2009-06-01,Language,Dutch,0.0019,0.0069
2009-06-01,Language,English,0.0001,0.0001
2009-06-01,Language,Finnish,0.0033,0.0086
2009-06-01,Language,French,0.0492,0.1259
2009-06-01,Language,German,0.0637,0.1449
2009-06-01,Language,Italian,0.0029,0.0085
2009-06-01,Language,Japanese,0.002,0.011
2009-06-01,Language,Korean,-0.0047,0.0091
2009-06-01,Language,Norwegian,0.0004,0.0054
2009-06-01,Language,Polish,0.0191,0.0403
2009-06-01,Language,Portuguese,-0.0074,0.016
2009-06-01,Language,Russian,0.0234,0.0905
2009-06-01,Language,Simplified Chinese,-0.0032,0.0062
2009-06-01,Language,Spanish,-0.0021,0.0233
2009-06-01,Language,Swedish,-0.0017,0.0155
2009-06-01,Language,Thai,-0.0004,0.0005
2009-06-01,Language,Traditional Chinese,-0.013,0.0135
2009-06-01,Language,Unknown,0.0021,0.0035
2009-07-01,Language,Danish,-0.0054,0.0089
2009-07-01,Language,Dutch,-0.0007,0.0062
2009-07-01,Language,English,0.0557,0.0558
2009-07-01,Language,Finnish,-0.0029,0.0057
2009-07-01,Language,French,-0.0249,0.101
2009-07-01,Language,German,-0.0323,0.1126
2009-07-01,Language,Italian,-0.001,0.0075
2009-07-01,Language,Japanese,-0.0038,0.0072
2009-07-01,Language,Korean,-0.0035,0.0056
2009-07-01,Language,Norwegian,-0.002,0.0034
2009-07-01,Language,Polish,-0.0058,0.0345
2009-07-01,Language,Portuguese,0.0112,0.0272
2009-07-01,Language,Russian,-0.0191,0.0714
2009-07-01,Language,Simplified Chinese,-0.001,0.0052
2009-07-01,Language,Spanish,0.0037,0.027
2009-07-01,Language,Swedish,0.0003,0.0158
2009-07-01,Language,Thai,-0.0002,0.0003
2009-07-01,Language,Traditional Chinese,-0.007,0.0065
2009-07-01,Language,Unknown,-0.0005,0.003
2009-08-01,Language,Danish,0.0007,0.0103
2009-08-01,Language,Dutch,-0.0003,0.0052
2009-08-01,Language,English,-0.0005,0.5974
2009-08-01,Language,Finnish,0.0,0.0058
2009-08-01,Language,French,0.0005,0.0741
2009-08-01,Language,German,-0.0011,0.0839
2009-08-01,Language,Italian,0.0001,0.0069
2009-08-01,Language,Japanese,-0.0014,0.0085
2009-08-01,Language,Korean,-0.0012,0.0119
2009-08-01,Language,Norwegian,0.0004,0.0054
2009-08-01,Language,Polish,0.0004,0.024
2009-08-01,Language,Portuguese,-0.0007,0.027
2009-08-01,Language,Russian,0.0048,0.0731
2009-08-01,Language,Simplified Chinese,-0.0015,0.0068
2009-08-01,Language,Spanish,-0.0004,0.027
2009-08-01,Language,Swedish,0.0013,0.0171
2009-08-01,Language,Thai,0.0,0.0006
2009-08-01,Language,Traditional Chinese,-0.0009,0.0104
2009-08-01,Language,Unknown,0.0,0.0018
2009-09-01,Language,Danish,-0.0001,0.0102
2009-09-01,Language,Dutch,0.0003,0.0055
2009-09-01,Language,English,0.0008,0.5982
2009-09-01,Language,Finnish,0.0,0.0058
2009-09-01,Language,French,-0.0007,0.0734
2009-09-01,Language,German,-0.0021,0.0818
2009-09-01,Language,Italian,0.0004,0.0073
2009-09-01,Language,Japanese,0.0007,0.0092
2009-09-01,Language,Korean,-0.0011,0.0108
2009-09-01,Language,Norwegian,-0.0001,0.0053
2009-09-01,Language,Polish,0.0004,0.0244
