date,category,name,change,percentage
2008-11-01,MSAA Support Level,2x,0.0032,0.8717
2008-11-01,MSAA Support Level,4x,0.0032,0.8717
2008-11-01,MSAA Support Level,6x,-0.0064,0.1557
2008-11-01,MSAA Support Level,8x,0.0218,0.4423
2009-01-01,MSAA Support Level,2x,0.0279,0.9073
2009-01-01,MSAA Support Level,4x,0.0279,0.9073
2009-01-01,MSAA Support Level,6x,-0.0026,0.1446
2009-01-01,MSAA Support Level,8x,0.0416,0.5104
2009-02-01,MSAA Support Level,2x,0.0263,0.9146
2009-02-01,MSAA Support Level,4x,0.0263,0.9146
2009-02-01,MSAA Support Level,6x,-0.0047,0.1334
2009-02-01,MSAA Support Level,8x,0.045,0.544
2009-03-01,MSAA Support Level,2x,0.015,0.9072
2009-03-01,MSAA Support Level,4x,0.015,0.9072
2009-03-01,MSAA Support Level,6x,-0.0035,0.1244
2009-03-01,MSAA Support Level,8x,0.0262,0.5533
2009-04-01,MSAA Support Level,2x,0.0038,0.8998
2009-04-01,MSAA Support Level,4x,0.0038,0.8998
2009-04-01,MSAA Support Level,6x,-0.0049,0.1181
2009-04-01,MSAA Support Level,8x,0.015,0.5574
2009-05-01,MSAA Support Level,2x,0.0129,0.9127
2009-05-01,MSAA Support Level,4x,0.0129,0.9127
2009-05-01,MSAA Support Level,6x,-0.0034,0.1147
2009-05-01,MSAA Support Level,8x,0.0261,0.5835
2009-06-01,MSAA Support Level,2x,0.0319,0.9314
2009-06-01,MSAA Support Level,4x,0.0319,0.9314
2009-06-01,MSAA Support Level,6x,0.0023,0.1155
2009-06-01,MSAA Support Level,8x,0.0383,0.6085
2009-07-01,MSAA Support Level,2x,-0.0532,0.8782
2009-07-01,MSAA Support Level,4x,-0.0532,0.8782
2009-07-01,MSAA Support Level,6x,-0.0154,0.1001
2009-07-01,MSAA Support Level,8x,-0.0175,0.591
2009-08-01,MSAA Support Level,2x,-0.0006,0.8992
2009-08-01,MSAA Support Level,4x,-0.0006,0.8992
2009-08-01,MSAA Support Level,6x,-0.0044,0.0981
2009-08-01,MSAA Support Level,8x,0.0082,0.6093
2009-09-01,MSAA Support Level,2x,0.0015,0.9007
2009-09-01,MSAA Support Level,4x,0.0015,0.9007
2009-09-01,MSAA Support Level,6x,-0.004,0.0941
2009-09-01,MSAA Support Level,8x,0.011,0.6203
2009-10-01,MSAA Support Level,2x,0.0038,0.9045
2009-10-01,MSAA Support Level,4x,0.0038,0.9045
2009-10-01,MSAA Support Level,6x,-0.0064,0.0877
2009-10-01,MSAA Support Level,8x,0.0129,0.6332
2009-11-01,MSAA Support Level,2x,0.0083,0.9128
2009-11-01,MSAA Support Level,4x,0.0083,0.9128
2009-11-01,MSAA Support Level,6x,-0.0079,0.0798
2009-11-01,MSAA Support Level,8x,0.0315,0.6647
2009-12-01,MSAA Support Level,2x,0.0263,0.9391
2009-12-01,MSAA Support Level,4x,0.0263,0.9391
2009-12-01,MSAA Support Level,6x,-0.0081,0.0717
2009-12-01,MSAA Support Level,8x,0.0453,0.71
2010-01-01,MSAA Support Level,2x,0.0011,0.9106
2010-01-01,MSAA Support Level,4x,0.0011,0.9106
2010-01-01,MSAA Support Level,6x,-0.0039,0.0718
2010-01-01,MSAA Support Level,8x,0.0077,0.6732
2010-02-01,MSAA Support Level,2x,0.0071,0.9177
2010-02-01,MSAA Support Level,4x,0.0071,0.9177
2010-02-01,MSAA Support Level,6x,-0.0089,0.0629
2010-02-01,MSAA Support Level,8x,0.0291,0.7023
2010-03-01,MSAA Support Level,2x,0.009,0.9196
2010-03-01,MSAA Support Level,4x,0.009,0.9196
2010-03-01,MSAA Support Level,6x,-0.0101,0.0617
2010-03-01,MSAA Support Level,8x,0.0363,0.7095
2010-05-01,MSAA Support Level,2x,-0.0872,0.8375
2010-05-01,MSAA Support Level,4x,-0.0872,0.8375
2010-05-01,MSAA Support Level,6x,-0.0036,0.0536
2010-05-01,MSAA Support Level,8x,-0.0747,0.6455
