date,category,name,change,percentage
2008-11-01,Microphones,No,0.0119,0.1982
2008-11-01,Microphones,Unknown,-0.0116,0.1545
2008-11-01,Microphones,Yes,-0.0004,0.6473
2009-01-01,Microphones,No,-0.0184,0.1754
2009-01-01,Microphones,Unknown,-0.0431,0.1139
2009-01-01,Microphones,Yes,0.0614,0.7106
2009-02-01,Microphones,No,-0.0283,0.1614
2009-02-01,Microphones,Unknown,-0.0498,0.1061
2009-02-01,Microphones,Yes,0.0782,0.7325
2009-03-01,Microphones,No,-0.0022,0.1884
2009-03-01,Microphones,Unknown,-0.0299,0.1236
2009-03-01,Microphones,Yes,0.032,0.6879
2009-04-01,Microphones,No,-0.0058,0.1895
2009-04-01,Microphones,Unknown,-0.0009,0.1431
2009-04-01,Microphones,Yes,0.0068,0.6674
2009-05-01,Microphones,No,-0.0134,0.1761
2009-05-01,Microphones,Unknown,-0.0249,0.1182
2009-05-01,Microphones,Yes,0.0384,0.7058
2009-06-01,Microphones,No,-0.0493,0.136
2009-06-01,Microphones,Unknown,-0.0674,0.0748
2009-06-01,Microphones,Yes,0.1168,0.7893
2009-07-01,Microphones,No,0.0089,0.1449
2009-07-01,Microphones,Unknown,0.0114,0.0862
2009-07-01,Microphones,Yes,-0.0204,0.7689
2009-08-01,Microphones,No,0.0011,0.2037
2009-08-01,Microphones,Unknown,-0.0007,0.0671
2009-08-01,Microphones,Yes,-0.0003,0.7292
2009-09-01,Microphones,No,-0.0032,0.2005
2009-09-01,Microphones,Unknown,0.0012,0.0683
2009-09-01,Microphones,Yes,0.002,0.7312
2009-10-01,Microphones,No,-0.0038,0.1967
2009-10-01,Microphones,Unknown,0.0118,0.0801
2009-10-01,Microphones,Yes,-0.008,0.7232
2009-11-01,Microphones,No,0.0047,0.2014
2009-11-01,Microphones,Unknown,0.0257,0.1058
2009-11-01,Microphones,Yes,-0.0304,0.6928
2009-12-01,Microphones,No,-0.0406,0.1608
2009-12-01,Microphones,Unknown,-0.0448,0.061
2009-12-01,Microphones,Yes,0.0854,0.7782
2010-01-01,Microphones,No,-0.0039,0.1924
2010-01-01,Microphones,Unknown,-0.0002,0.1018
2010-01-01,Microphones,Yes,0.0041,0.7058
2010-02-01,Microphones,No,-0.0064,0.186
2010-02-01,Microphones,Unknown,-0.0074,0.0944
2010-02-01,Microphones,Yes,0.0138,0.7196
2010-03-01,Microphones,No,-0.0078,0.1846
2010-03-01,Microphones,Unknown,-0.0138,0.088
2010-03-01,Microphones,Yes,0.0216,0.7274
2010-05-01,Microphones,No,0.004,0.1808
2010-05-01,Microphones,Unknown,0.0,0.0845
2010-05-01,Microphones,Yes,-0.004,0.7347
2010-06-01,Microphones,No,-0.0194,0.1649
2010-06-01,Microphones,Unknown,-0.0222,0.0692
2010-06-01,Microphones,Yes,0.0415,0.7659
2010-07-01,Microphones,No,-0.0132,0.1658
2010-07-01,Microphones,Unknown,-0.0277,0.0606
2010-07-01,Microphones,Yes,0.0409,0.7736
2010-08-01,Microphones,No,-0.0025,0.1809
2010-08-01,Microphones,Unknown,0.0015,0.0891
2010-08-01,Microphones,Yes,0.001,0.73
2010-11-01,Microphones,No,0.0002,0.1727
2010-11-01,Microphones,Unknown,-0.0066,0.0617
2010-11-01,Microphones,Yes,0.0063,0.7655
2011-01-01,Microphones,No,-0.004,0.1747
2011-01-01,Microphones,Unknown,-0.0018,0.0586
2011-01-01,Microphones,Yes,0.0058,0.7667
2011-04-01,Microphones,No,-0.0164,0.1603
2011-04-01,Microphones,Unknown,-0.0181,0.0416
2011-04-01,Microphones,Yes,0.0345,0.7981
2011-06-01,Microphones,No,-0.0075,0.1662
2011-06-01,Microphones,Unknown,-0.0114,0.0425
2011-06-01,Microphones,Yes,0.0188,0.7912
2011-08-01,Microphones,No,-0.0072,0.1712
2011-08-01,Microphones,Unknown,-0.0062,0.0434
2011-08-01,Microphones,Yes,0.0135,0.7854
2011-10-01,Microphones,No,0.0013,0.1725
2011-10-01,Microphones,Unknown,-0.0022,0.0683
2011-10-01,Microphones,Yes,0.0009,0.7592
2011-11-01,Microphones,No,0.0002,0.1727
2011-11-01,Microphones,Unknown,-0.0066,0.0617
2011-11-01,Microphones,Yes,0.0063,0.7655
2011-12-01,Microphones,No,0.0,0.1787
2011-12-01,Microphones,Unknown,0.0,0.0604
2011-12-01,Microphones,Yes,0.0,0.7609
2012-02-01,Microphones,No,-0.0003,0.1889
2012-02-01,Microphones,Unknown,-0.0072,0.0491
2012-02-01,Microphones,Yes,0.0074,0.7619
2012-03-01,Microphones,No,-0.0137,0.1755
2012-03-01,Microphones,Unknown,0.026,0.0823
2012-03-01,Microphones,Yes,-0.0123,0.7422
2012-04-01,Microphones,No,0.004,0.1819
2012-04-01,Microphones,Unknown,0.0099,0.1014
2012-04-01,Microphones,Yes,-0.0139,0.7167
2012-05-01,Microphones,No,0.0009,0.1828
2012-05-01,Microphones,Unknown,0.0052,0.1066
2012-05-01,Microphones,Yes,-0.0061,0.7106
2012-07-01,Microphones,No,0.0,0.1839
2012-07-01,Microphones,Unknown,0.0,0.1051
2012-07-01,Microphones,Yes,0.0,0.711
2012-08-01,Microphones,No,-0.006,0.1779
2012-08-01,Microphones,Unknown,0.0073,0.1124
2012-08-01,Microphones,Yes,-0.0012,0.7098
2012-10-01,Microphones,No,-0.0037,0.1754
2012-10-01,Microphones,Unknown,-0.0029,0.107
2012-10-01,Microphones,Yes,0.0066,0.7176
2012-12-01,Microphones,No,0.0064,0.1754
2012-12-01,Microphones,Unknown,0.0108,0.1123
2012-12-01,Microphones,Yes,-0.0172,0.7123
2013-02-01,Microphones,No,-0.0081,0.1654
