date,category,name,change,percentage
2008-11-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),0.0001,0.0019
2008-11-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),0.0001,0.0155
2008-11-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0,0.0001
2008-11-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),0.0001,0.0003
2009-01-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),-0.0003,0.0021
2009-01-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),0.0006,0.0162
2009-01-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0001,0.0002
2009-01-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),-0.0002,0.0001
2009-02-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),0.0007,0.0028
2009-02-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),0.0035,0.0188
2009-02-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0,0.0002
2009-02-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),0.0,0.0002
2009-03-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),0.0001,0.0025
2009-03-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),0.0013,0.019
2009-03-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0,0.0002
2009-03-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),0.0001,0.0003
2009-04-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),0.0002,0.0025
2009-04-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),-0.0001,0.0181
2009-04-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0,0.0002
2009-04-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),0.0,0.0003
2009-05-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),-0.0002,0.0023
2009-05-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),0.0019,0.02
2009-05-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0,0.0002
2009-05-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),0.0,0.0003
2009-06-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),0.0006,0.0027
2009-06-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),-0.0032,0.0154
2009-06-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),-0.0001,0.0001
2009-06-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),-0.0001,0.0002
2009-07-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),0.0,0.0027
2009-07-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),0.0018,0.0172
2009-07-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0001,0.0002
2009-07-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),0.0001,0.0003
2009-08-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),-0.0002,0.0023
2009-08-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),0.0005,0.0204
2009-08-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0,0.0002
2009-08-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),0.0,0.0004
2009-09-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),0.0002,0.0025
2009-09-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),0.0004,0.0208
2009-09-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0,0.0002
2009-09-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),0.0,0.0004
2009-10-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),-0.0004,0.0021
2009-10-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),-0.0004,0.0204
2009-10-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0,0.0002
2009-10-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),0.0,0.0004
2009-11-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),-0.0002,0.0019
2009-11-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),-0.0008,0.0196
2009-11-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0,0.0002
2009-11-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),0.0,0.0004
2009-12-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),-0.0001,0.0018
2009-12-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),0.0044,0.024
2009-12-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0002,0.0004
2009-12-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),0.0001,0.0005
2010-01-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),-0.0001,0.0016
2010-01-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),-0.0015,0.0183
2010-01-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),-0.0001,0.0002
2010-01-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),-0.0001,0.0004
2010-02-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),-0.0003,0.0013
2010-02-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),0.0007,0.019
2010-02-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0,0.0002
2010-02-01,Multi-GPU Systems,NVIDIA SLI (4 GPUs),0.0,0.0004
2010-03-01,Multi-GPU Systems,ATI Crossfire (2 GPUs),-0.0004,0.0012
2010-03-01,Multi-GPU Systems,NVIDIA SLI (2 GPUs),0.0008,0.0191
2010-03-01,Multi-GPU Systems,NVIDIA SLI (3 GPUs),0.0001,0.0003
