date,category,name,change,percentage
2008-11-01,Multi-Monitor Desktop Resolution,1824 x 768,0.0014,0.0086
2008-11-01,Multi-Monitor Desktop Resolution,2048 x 768,-0.0016,0.0467
2008-11-01,Multi-Monitor Desktop Resolution,2080 x 1024,-0.0075,0.0067
2008-11-01,Multi-Monitor Desktop Resolution,2304 x 1024,-0.006,0.0626
2008-11-01,Multi-Monitor Desktop Resolution,2304 x 800,0.0066,0.0066
2008-11-01,Multi-Monitor Desktop Resolution,2464 x 900,0.0001,0.0195
2008-11-01,Multi-Monitor Desktop Resolution,2560 x 1024,-0.0128,0.163
2008-11-01,Multi-Monitor Desktop Resolution,2640 x 1024,-0.001,0.0088
2008-11-01,Multi-Monitor Desktop Resolution,2704 x 1050,0.0,0.0386
2008-11-01,Multi-Monitor Desktop Resolution,2720 x 1024,0.0009,0.024
2008-11-01,Multi-Monitor Desktop Resolution,2880 x 1200,-0.0071,0.0112
2008-11-01,Multi-Monitor Desktop Resolution,2880 x 900,-0.0067,0.018
2008-11-01,Multi-Monitor Desktop Resolution,2960 x 1050,0.0115,0.1395
2008-11-01,Multi-Monitor Desktop Resolution,3040 x 1050,0.0025,0.0104
2008-11-01,Multi-Monitor Desktop Resolution,3120 x 1050,0.0015,0.0164
2008-11-01,Multi-Monitor Desktop Resolution,3200 x 1080,0.0004,0.0104
2008-11-01,Multi-Monitor Desktop Resolution,3200 x 1200,0.011,0.0652
2008-11-01,Multi-Monitor Desktop Resolution,3280 x 1200,0.0031,0.0099
2008-11-01,Multi-Monitor Desktop Resolution,3360 x 1050,0.0017,0.0624
2008-11-01,Multi-Monitor Desktop Resolution,3520 x 1200,0.0001,0.0097
2008-11-01,Multi-Monitor Desktop Resolution,3600 x 1080,0.0053,0.0145
2008-11-01,Multi-Monitor Desktop Resolution,3600 x 1200,0.0011,0.0116
2008-11-01,Multi-Monitor Desktop Resolution,3840 x 1200,0.0,0.0197
2008-11-01,Multi-Monitor Desktop Resolution,Other,0.0224,0.2159
2009-01-01,Multi-Monitor Desktop Resolution,1824 x 768,-0.0008,0.0069
2009-01-01,Multi-Monitor Desktop Resolution,2048 x 768,0.0031,0.0448
2009-01-01,Multi-Monitor Desktop Resolution,2080 x 1024,0.0006,0.0076
2009-01-01,Multi-Monitor Desktop Resolution,2304 x 1024,-0.0036,0.0571
2009-01-01,Multi-Monitor Desktop Resolution,2304 x 800,0.0061,0.0061
2009-01-01,Multi-Monitor Desktop Resolution,2464 x 900,-0.0054,0.0206
2009-01-01,Multi-Monitor Desktop Resolution,2560 x 1024,-0.0074,0.1518
2009-01-01,Multi-Monitor Desktop Resolution,2640 x 1024,0.0002,0.009
2009-01-01,Multi-Monitor Desktop Resolution,2704 x 1050,0.0039,0.0454
2009-01-01,Multi-Monitor Desktop Resolution,2720 x 1024,0.0014,0.0266
2009-01-01,Multi-Monitor Desktop Resolution,2880 x 1200,-0.0004,0.0132
2009-01-01,Multi-Monitor Desktop Resolution,2880 x 900,0.0064,0.0263
2009-01-01,Multi-Monitor Desktop Resolution,2944 x 1200,0.0031,0.0099
2009-01-01,Multi-Monitor Desktop Resolution,2960 x 1050,0.0016,0.1449
2009-01-01,Multi-Monitor Desktop Resolution,3040 x 1050,-0.003,0.0078
2009-01-01,Multi-Monitor Desktop Resolution,3120 x 1050,0.0058,0.0227
2009-01-01,Multi-Monitor Desktop Resolution,3200 x 1080,0.006,0.0188
2009-01-01,Multi-Monitor Desktop Resolution,3200 x 1200,0.0023,0.0598
2009-01-01,Multi-Monitor Desktop Resolution,3280 x 1200,-0.0014,0.0075
2009-01-01,Multi-Monitor Desktop Resolution,3360 x 1050,0.0068,0.0753
2009-01-01,Multi-Monitor Desktop Resolution,3360 x 1200,0.0061,0.0061
2009-01-01,Multi-Monitor Desktop Resolution,3520 x 1200,-0.0021,0.0084
2009-01-01,Multi-Monitor Desktop Resolution,3600 x 1080,0.0036,0.0146
2009-01-01,Multi-Monitor Desktop Resolution,3600 x 1200,-0.0027,0.0129
2009-01-01,Multi-Monitor Desktop Resolution,3840 x 1200,-0.004,0.0182
2009-01-01,Multi-Monitor Desktop Resolution,Other,0.0005,0.2044
2009-02-01,Multi-Monitor Desktop Resolution,1824 x 768,0.0012,0.0081
2009-02-01,Multi-Monitor Desktop Resolution,2048 x 768,0.0006,0.0418
2009-02-01,Multi-Monitor Desktop Resolution,2080 x 1024,-0.0015,0.0061
2009-02-01,Multi-Monitor Desktop Resolution,2304 x 1024,0.002,0.056
2009-02-01,Multi-Monitor Desktop Resolution,2464 x 900,0.0061,0.0239
2009-02-01,Multi-Monitor Desktop Resolution,2560 x 1024,-0.0048,0.1464
2009-02-01,Multi-Monitor Desktop Resolution,2560 x 960,0.0065,0.0065
2009-02-01,Multi-Monitor Desktop Resolution,2640 x 1024,-0.0029,0.0061
2009-02-01,Multi-Monitor Desktop Resolution,2704 x 1050,-0.0003,0.0414
2009-02-01,Multi-Monitor Desktop Resolution,2720 x 1024,0.0007,0.0247
2009-02-01,Multi-Monitor Desktop Resolution,2720 x 900,0.0061,0.0061
2009-02-01,Multi-Monitor Desktop Resolution,2880 x 1200,-0.0006,0.0122
2009-02-01,Multi-Monitor Desktop Resolution,2880 x 900,-0.0051,0.0199
2009-02-01,Multi-Monitor Desktop Resolution,2944 x 1200,-0.0026,0.0061
2009-02-01,Multi-Monitor Desktop Resolution,2960 x 1050,0.0115,0.1525
2009-02-01,Multi-Monitor Desktop Resolution,3040 x 1050,0.0047,0.013
2009-02-01,Multi-Monitor Desktop Resolution,3120 x 1050,-0.0045,0.0162
2009-02-01,Multi-Monitor Desktop Resolution,3200 x 1080,-0.0028,0.0146
2009-02-01,Multi-Monitor Desktop Resolution,3200 x 1200,-0.0108,0.0523
2009-02-01,Multi-Monitor Desktop Resolution,3280 x 1200,0.0026,0.0101
2009-02-01,Multi-Monitor Desktop Resolution,3360 x 1050,-0.0083,0.0697
2009-02-01,Multi-Monitor Desktop Resolution,3360 x 1200,0.0008,0.0069
2009-02-01,Multi-Monitor Desktop Resolution,3520 x 1200,-0.0012,0.0089
2009-02-01,Multi-Monitor Desktop Resolution,3600 x 1080,0.0022,0.017
2009-02-01,Multi-Monitor Desktop Resolution,3600 x 1200,0.0052,0.0203
2009-02-01,Multi-Monitor Desktop Resolution,3840 x 1200,-0.0036,0.0191
2009-02-01,Multi-Monitor Desktop Resolution,Other,0.005,0.1942
2009-03-01,Multi-Monitor Desktop Resolution,2048 x 768,-0.0062,0.0335
2009-03-01,Multi-Monitor Desktop Resolution,2080 x 1024,0.0001,0.0072
2009-03-01,Multi-Monitor Desktop Resolution,2304 x 1024,-0.007,0.0457
2009-03-01,Multi-Monitor Desktop Resolution,2464 x 900,-0.0006,0.0192
2009-03-01,Multi-Monitor Desktop Resolution,2560 x 1024,0.0098,0.1467
2009-03-01,Multi-Monitor Desktop Resolution,2640 x 1024,0.0017,0.0098
2009-03-01,Multi-Monitor Desktop Resolution,2704 x 1050,-0.0025,0.035
2009-03-01,Multi-Monitor Desktop Resolution,2720 x 1024,-0.0012,0.0208
2009-03-01,Multi-Monitor Desktop Resolution,2880 x 1200,-0.0002,0.0115
