date,category,name,change,percentage
2008-11-01,NVIDIA Drivers,6.14.10.5673 (8/3/2004),-0.0011,0.0182
2008-11-01,NVIDIA Drivers,6.14.10.9147 (8/11/2006),0.0158,0.0158
2008-11-01,NVIDIA Drivers,6.14.10.9371 (4/2/2007),0.0282,0.0282
2008-11-01,NVIDIA Drivers,6.14.11.6218 (6/29/2007),0.0256,0.0256
2008-11-01,NVIDIA Drivers,6.14.11.6371 (9/17/2007),-0.0032,0.0155
2008-11-01,NVIDIA Drivers,6.14.11.6375 (10/4/2007),-0.0017,0.0145
2008-11-01,NVIDIA Drivers,6.14.11.6921 (12/5/2007),-0.0171,0.0684
2008-11-01,NVIDIA Drivers,6.14.11.7516 (5/3/2008),-0.014,0.0395
2008-11-01,NVIDIA Drivers,6.14.11.7519 (5/16/2008),-0.0319,0.0671
2008-11-01,NVIDIA Drivers,6.14.11.7813 (9/17/2008),0.0006,0.0496
2008-11-01,NVIDIA Drivers,6.14.11.7824 (10/7/2008),0.0722,0.0887
2008-11-01,NVIDIA Drivers,7.15.11.6925 (12/12/2007),0.0122,0.0122
2008-11-01,NVIDIA Drivers,7.15.11.7519 (5/16/2008),-0.0215,0.0161
2008-11-01,NVIDIA Drivers,7.15.11.7813 (9/17/2008),0.0058,0.0507
2008-11-01,NVIDIA Drivers,7.15.11.7824 (10/7/2008),0.0484,0.0484
2008-11-01,NVIDIA Drivers,Other,0.025,0.4415
2009-01-01,NVIDIA Drivers,6.14.10.5673 (8/3/2004),0.0118,0.0118
2009-01-01,NVIDIA Drivers,6.14.10.9147 (8/30/2006),-0.0017,0.0126
2009-01-01,NVIDIA Drivers,6.14.10.9371 (10/22/2006),0.0217,0.0217
2009-01-01,NVIDIA Drivers,6.14.11.6218 (6/29/2007),0.0224,0.0224
2009-01-01,NVIDIA Drivers,6.14.11.6371 (9/17/2007),-0.0025,0.0109
2009-01-01,NVIDIA Drivers,6.14.11.6921 (0/0/0),0.0449,0.0449
2009-01-01,NVIDIA Drivers,6.14.11.7516 (5/3/2008),-0.0037,0.0284
2009-01-01,NVIDIA Drivers,6.14.11.7519 (5/16/2008),-0.0093,0.0429
2009-01-01,NVIDIA Drivers,6.14.11.7813 (9/17/2008),0.0316,0.0316
2009-01-01,NVIDIA Drivers,6.14.11.7824 (10/7/2008),0.0114,0.1369
2009-01-01,NVIDIA Drivers,6.14.11.8048 (11/12/2008),0.0228,0.0621
2009-01-01,NVIDIA Drivers,6.14.11.8084 (12/3/2008),0.0154,0.0154
2009-01-01,NVIDIA Drivers,6.14.11.8120 (12/26/2008),0.0213,0.0213
2009-01-01,NVIDIA Drivers,7.15.11.7813 (9/16/2008),0.0413,0.0413
2009-01-01,NVIDIA Drivers,7.15.11.7824 (10/7/2008),-0.0005,0.0495
2009-01-01,NVIDIA Drivers,7.15.11.8048 (11/12/2008),0.0187,0.0604
2009-01-01,NVIDIA Drivers,7.15.11.8084 (12/3/2008),0.0148,0.0148
2009-01-01,NVIDIA Drivers,7.15.11.8120 (12/26/2008),0.0147,0.0147
2009-01-01,NVIDIA Drivers,Other,-0.019,0.3923
2009-02-01,NVIDIA Drivers,6.14.10.5673 (8/4/2004),0.0102,0.0102
2009-02-01,NVIDIA Drivers,6.14.10.9147 (8/11/2006),0.0113,0.0113
2009-02-01,NVIDIA Drivers,6.14.10.9371 (10/22/2006),-0.0041,0.0188
2009-02-01,NVIDIA Drivers,6.14.11.6218 (6/29/2007),-0.0048,0.0194
2009-02-01,NVIDIA Drivers,6.14.11.6371 (9/17/2007),-0.0004,0.0108
2009-02-01,NVIDIA Drivers,6.14.11.6921 (11/1/2006),0.0359,0.0359
2009-02-01,NVIDIA Drivers,6.14.11.7516 (5/2/2008),0.0236,0.0236
2009-02-01,NVIDIA Drivers,6.14.11.7519 (5/16/2008),-0.007,0.0355
2009-02-01,NVIDIA Drivers,6.14.11.7813 (9/18/2008),0.0284,0.0284
2009-02-01,NVIDIA Drivers,6.14.11.7824 (10/7/2008),-0.015,0.1006
