date,category,name,change,percentage
2010-06-01,OS Version,MacOS 10.5.8 64 bit,-0.0046,0.0089
2010-06-01,OS Version,MacOS 10.6.3 64 bit,-0.0117,0.0528
2010-06-01,OS Version,Other,0.0002,0.0024
2010-06-01,OS Version,Windows 2003 64 bit,0.0002,0.0036
2010-06-01,OS Version,Windows 7,0.0008,0.1154
2010-06-01,OS Version,Windows 7 64 bit,0.0299,0.2738
2010-06-01,OS Version,Windows Vista 32 bit,-0.0021,0.1434
2010-06-01,OS Version,Windows Vista 64 bit,0.0104,0.0763
2010-06-01,OS Version,Windows XP 32 bit,-0.0212,0.3168
2010-06-01,OS Version,Windows XP 64 bit,0.0013,0.0065
2010-07-01,OS Version,MacOS 10.5.8 64 bit,-0.0033,0.007
2010-07-01,OS Version,MacOS 10.6.3 64 bit,-0.0103,0.0428
2010-07-01,OS Version,Other,0.0002,0.002
2010-07-01,OS Version,Windows 2003 64 bit,0.0001,0.0033
2010-07-01,OS Version,Windows 7,-0.0053,0.1154
2010-07-01,OS Version,Windows 7 64 bit,0.0367,0.3032
2010-07-01,OS Version,Windows Vista 32 bit,-0.0009,0.1392
2010-07-01,OS Version,Windows Vista 64 bit,0.0108,0.0783
2010-07-01,OS Version,Windows XP 32 bit,-0.0282,0.3017
2010-07-01,OS Version,Windows XP 64 bit,0.0015,0.0071
2010-08-01,OS Version,MacOS 10.5.8 64 bit,-0.0012,0.0065
2010-08-01,OS Version,MacOS 10.6.3 64 bit,-0.0017,0.0413
2010-08-01,OS Version,MacOS 10.6.4 64 bit,0.0022,0.0022
2010-08-01,OS Version,Other,-0.0006,0.0017
2010-08-01,OS Version,Windows 2003 64 bit,-0.0003,0.0028
2010-08-01,OS Version,Windows 7,0.004,0.1282
2010-08-01,OS Version,Windows 7 64 bit,0.0138,0.2962
2010-08-01,OS Version,Windows Vista 32 bit,-0.0049,0.1322
2010-08-01,OS Version,Windows Vista 64 bit,0.0009,0.0681
2010-08-01,OS Version,Windows XP 32 bit,-0.0124,0.3149
2010-08-01,OS Version,Windows XP 64 bit,0.0003,0.0059
2010-11-01,OS Version,MacOS 10.5.8 64 bit,-0.0009,0.005
2010-11-01,OS Version,MacOS 10.6.3 64 bit,-0.0038,0.0084
2010-11-01,OS Version,MacOS 10.6.4 64 bit,-0.005,0.0242
2010-11-01,OS Version,MacOS 10.6.5 64 bit,0.0095,0.0095
2010-11-01,OS Version,Other,-0.0005,0.0011
2010-11-01,OS Version,Windows 2003 64 bit,0.0003,0.0031
2010-11-01,OS Version,Windows 7,-0.0047,0.1134
2010-11-01,OS Version,Windows 7 64 bit,0.0081,0.3418
2010-11-01,OS Version,Windows Vista 32 bit,-0.0003,0.1362
