date,category,name,change,percentage
2008-11-01,Other Settings,FCMOV,0.0001,0.9999
2008-11-01,Other Settings,HyperThreading,-0.0034,0.1293
2008-11-01,Other Settings,NTFS,0.002,0.9728
2008-11-01,Other Settings,SSE2,0.0064,0.9434
2009-01-01,Other Settings,FCMOV,0.0001,1.0
2009-01-01,Other Settings,HyperThreading,-0.0009,0.1208
2009-01-01,Other Settings,NTFS,0.0054,0.9787
2009-01-01,Other Settings,SSE2,0.005,0.9538
2009-02-01,Other Settings,FCMOV,0.0,1.0
2009-02-01,Other Settings,HyperThreading,-0.0043,0.1126
2009-02-01,Other Settings,NTFS,0.0044,0.9797
2009-02-01,Other Settings,SSE2,0.0024,0.9566
2009-03-01,Other Settings,FCMOV,0.0001,1.0
2009-03-01,Other Settings,HyperThreading,-0.0128,0.0919
2009-03-01,Other Settings,NTFS,0.0046,0.9804
2009-03-01,Other Settings,SSE2,0.0039,0.9611
2009-04-01,Other Settings,FCMOV,0.0,0.9999
2009-04-01,Other Settings,HyperThreading,-0.0005,0.0945
2009-04-01,Other Settings,NTFS,0.0003,0.9792
2009-04-01,Other Settings,SSE2,0.0026,0.963
2009-05-01,Other Settings,FCMOV,0.0,0.9999
2009-05-01,Other Settings,HyperThreading,-0.0016,0.0929
2009-05-01,Other Settings,NTFS,-0.0015,0.9777
2009-05-01,Other Settings,SSE2,0.0032,0.9662
2009-06-01,Other Settings,FCMOV,0.0001,1.0
2009-06-01,Other Settings,HyperThreading,-0.0076,0.0881
2009-06-01,Other Settings,NTFS,0.0112,0.9824
2009-06-01,Other Settings,SSE2,-0.0009,0.965
2009-07-01,Other Settings,FCMOV,-0.0558,0.9442
2009-07-01,Other Settings,HyperThreading,-0.0039,0.0842
2009-07-01,Other Settings,NTFS,-0.053,0.9294
2009-07-01,Other Settings,SSE2,-0.052,0.913
2009-08-01,Other Settings,FCMOV,-0.0001,0.9999
2009-08-01,Other Settings,HyperThreading,-0.0007,0.0998
2009-08-01,Other Settings,NTFS,0.001,0.9833
2009-08-01,Other Settings,SSE2,0.0015,0.97
2009-09-01,Other Settings,FCMOV,0.0,0.9999
2009-09-01,Other Settings,HyperThreading,0.0008,0.1006
2009-09-01,Other Settings,NTFS,-0.0001,0.9832
2009-09-01,Other Settings,SSE2,0.0019,0.9719
2009-10-01,Other Settings,FCMOV,0.0001,1.0
2009-10-01,Other Settings,HyperThreading,0.0025,0.1031
2009-10-01,Other Settings,NTFS,0.001,0.9842
2009-10-01,Other Settings,SSE2,0.0016,0.9735
2009-11-01,Other Settings,FCMOV,-0.0001,0.9999
2009-11-01,Other Settings,HyperThreading,-0.0013,0.1018
2009-11-01,Other Settings,NTFS,0.0005,0.9847
2009-11-01,Other Settings,SSE2,0.0045,0.978
2009-12-01,Other Settings,FCMOV,0.0001,1.0
2009-12-01,Other Settings,HyperThreading,-0.0014,0.1004
2009-12-01,Other Settings,NTFS,0.0034,0.9881
2009-12-01,Other Settings,SSE2,0.0029,0.9809
