date,category,name,change,percentage
2008-11-01,Physical CPUs,1 cpu,-0.0193,0.402
2008-11-01,Physical CPUs,2 cpus,0.0144,0.4927
2008-11-01,Physical CPUs,3 cpus,0.0006,0.0034
2008-11-01,Physical CPUs,4 cpus,0.0039,0.1012
2008-11-01,Physical CPUs,8 cpus,0.0004,0.0007
2009-01-01,Physical CPUs,1 cpu,-0.0262,0.3512
2009-01-01,Physical CPUs,2 cpus,0.0111,0.5192
2009-01-01,Physical CPUs,3 cpus,0.0005,0.0049
2009-01-01,Physical CPUs,4 cpus,0.0139,0.1215
2009-01-01,Physical CPUs,8 cpus,0.0007,0.0032
2009-02-01,Physical CPUs,1 cpu,-0.0276,0.3268
2009-02-01,Physical CPUs,2 cpus,0.0073,0.528
2009-02-01,Physical CPUs,3 cpus,0.0006,0.0055
2009-02-01,Physical CPUs,4 cpus,0.0186,0.1344
2009-02-01,Physical CPUs,8 cpus,0.0011,0.0054
2009-03-01,Physical CPUs,1 cpu,-0.0334,0.2873
2009-03-01,Physical CPUs,2 cpus,0.0189,0.5615
2009-03-01,Physical CPUs,3 cpus,0.0001,0.0043
2009-03-01,Physical CPUs,4 cpus,0.0167,0.1464
2009-03-01,Physical CPUs,8 cpus,-0.0023,0.0005
2009-04-01,Physical CPUs,1 cpu,-0.0105,0.2856
2009-04-01,Physical CPUs,2 cpus,0.0036,0.5615
2009-04-01,Physical CPUs,3 cpus,0.0007,0.005
2009-04-01,Physical CPUs,4 cpus,0.0065,0.1475
2009-04-01,Physical CPUs,8 cpus,-0.0001,0.0005
2009-05-01,Physical CPUs,1 cpu,-0.0191,0.2665
2009-05-01,Physical CPUs,2 cpus,0.0055,0.567
2009-05-01,Physical CPUs,3 cpus,0.0004,0.0054
2009-05-01,Physical CPUs,4 cpus,0.0131,0.1606
2009-05-01,Physical CPUs,8 cpus,0.0,0.0005
2009-06-01,Physical CPUs,1 cpu,-0.0145,0.2618
2009-06-01,Physical CPUs,2 cpus,0.0047,0.5676
2009-06-01,Physical CPUs,3 cpus,0.0005,0.0057
2009-06-01,Physical CPUs,4 cpus,0.0096,0.1646
2009-06-01,Physical CPUs,8 cpus,-0.0003,0.0002
2009-06-01,Physical CPUs,Unspecified,0.0001,0.0001
2009-07-01,Physical CPUs,1 cpu,-0.0276,0.2342
2009-07-01,Physical CPUs,2 cpus,-0.0303,0.5373
2009-07-01,Physical CPUs,3 cpus,0.0001,0.0058
2009-07-01,Physical CPUs,4 cpus,0.0019,0.1665
2009-07-01,Physical CPUs,8 cpus,0.0002,0.0004
2009-07-01,Physical CPUs,Unspecified,0.0557,0.0558
2009-08-01,Physical CPUs,1 cpu,-0.0105,0.245
2009-08-01,Physical CPUs,12 cpus,0.0,0.0
2009-08-01,Physical CPUs,2 cpus,0.0047,0.5646
2009-08-01,Physical CPUs,3 cpus,0.0003,0.0067
2009-08-01,Physical CPUs,4 cpus,0.0055,0.1832
2009-08-01,Physical CPUs,8 cpus,-0.0001,0.0005
2009-09-01,Physical CPUs,1 cpu,-0.0071,0.2379
2009-09-01,Physical CPUs,2 cpus,-0.0009,0.5637
2009-09-01,Physical CPUs,3 cpus,0.0005,0.0072
2009-09-01,Physical CPUs,4 cpus,0.0075,0.1907
2009-09-01,Physical CPUs,8 cpus,0.0,0.0005
2009-10-01,Physical CPUs,1 cpu,-0.0099,0.228
2009-10-01,Physical CPUs,2 cpus,-0.0025,0.5612
2009-10-01,Physical CPUs,3 cpus,0.0008,0.008
2009-10-01,Physical CPUs,4 cpus,0.0113,0.202
2009-10-01,Physical CPUs,8 cpus,0.0002,0.0007
2009-10-01,Physical CPUs,Unspecified,0.0,0.0
2009-11-01,Physical CPUs,1 cpu,-0.0203,0.2077
2009-11-01,Physical CPUs,2 cpus,0.0106,0.5718
