date,category,name,change,percentage
2008-11-01,Primary Display Resolution,1024 x 768,-0.0114,0.2542
2008-11-01,Primary Display Resolution,1152 x 864,-0.0019,0.0413
2008-11-01,Primary Display Resolution,1280 x 1024,-0.0042,0.2525
2008-11-01,Primary Display Resolution,1280 x 720,0.0062,0.0062
2008-11-01,Primary Display Resolution,1280 x 768,-0.0002,0.0088
2008-11-01,Primary Display Resolution,1280 x 800,0.0045,0.0825
2008-11-01,Primary Display Resolution,1280 x 960,-0.0006,0.0217
2008-11-01,Primary Display Resolution,1440 x 900,0.0007,0.0987
2008-11-01,Primary Display Resolution,1600 x 1200,0.0006,0.0126
2008-11-01,Primary Display Resolution,1680 x 1050,0.0079,0.1426
2008-11-01,Primary Display Resolution,1920 x 1200,0.0016,0.0357
2008-11-01,Primary Display Resolution,800 x 600,-0.0014,0.0105
2008-11-01,Primary Display Resolution,Other,-0.0019,0.0326
2009-01-01,Primary Display Resolution,1024 x 768,-0.0278,0.2162
2009-01-01,Primary Display Resolution,1152 x 864,-0.0014,0.0392
2009-01-01,Primary Display Resolution,1280 x 1024,0.0033,0.2516
2009-01-01,Primary Display Resolution,1280 x 768,0.0002,0.009
2009-01-01,Primary Display Resolution,1280 x 800,-0.0043,0.079
2009-01-01,Primary Display Resolution,1280 x 960,0.0014,0.0233
2009-01-01,Primary Display Resolution,1440 x 900,0.0064,0.1102
2009-01-01,Primary Display Resolution,1600 x 1200,0.0003,0.0121
2009-01-01,Primary Display Resolution,1680 x 1050,0.0186,0.1677
2009-01-01,Primary Display Resolution,1920 x 1080,0.0078,0.0078
2009-01-01,Primary Display Resolution,1920 x 1200,0.003,0.0404
2009-01-01,Primary Display Resolution,800 x 600,-0.0024,0.0074
2009-01-01,Primary Display Resolution,Other,-0.0054,0.036
2009-02-01,Primary Display Resolution,1024 x 768,-0.0159,0.2135
2009-02-01,Primary Display Resolution,1152 x 864,0.0003,0.0388
2009-02-01,Primary Display Resolution,1280 x 1024,0.0067,0.2504
2009-02-01,Primary Display Resolution,1280 x 768,-0.001,0.0082
2009-02-01,Primary Display Resolution,1280 x 800,-0.009,0.0745
2009-02-01,Primary Display Resolution,1280 x 960,0.0025,0.0242
2009-02-01,Primary Display Resolution,1440 x 900,0.0017,0.1103
2009-02-01,Primary Display Resolution,1600 x 1200,-0.0008,0.0111
2009-02-01,Primary Display Resolution,1680 x 1050,0.0162,0.1749
2009-02-01,Primary Display Resolution,1920 x 1080,0.0006,0.0092
2009-02-01,Primary Display Resolution,1920 x 1200,0.0009,0.041
2009-02-01,Primary Display Resolution,800 x 600,-0.0021,0.0067
2009-02-01,Primary Display Resolution,Other,-0.0003,0.0372
2009-03-01,Primary Display Resolution,1024 x 768,-0.0212,0.2018
2009-03-01,Primary Display Resolution,1152 x 864,-0.0005,0.0362
2009-03-01,Primary Display Resolution,1280 x 1024,0.0014,0.2401
2009-03-01,Primary Display Resolution,1280 x 768,0.0004,0.0092
2009-03-01,Primary Display Resolution,1280 x 800,-0.0024,0.0797
2009-03-01,Primary Display Resolution,1280 x 960,-0.0001,0.0216
2009-03-01,Primary Display Resolution,1360 x 768,0.0004,0.0064
2009-03-01,Primary Display Resolution,1440 x 900,0.0039,0.1139
2009-03-01,Primary Display Resolution,1600 x 1200,0.001,0.0124
2009-03-01,Primary Display Resolution,1680 x 1050,0.0112,0.1762
2009-03-01,Primary Display Resolution,1920 x 1080,0.003,0.0136
2009-03-01,Primary Display Resolution,1920 x 1200,0.003,0.0463
2009-03-01,Primary Display Resolution,800 x 600,-0.0013,0.007
2009-03-01,Primary Display Resolution,Other,0.0015,0.0357
2009-04-01,Primary Display Resolution,1024 x 768,-0.004,0.2069
2009-04-01,Primary Display Resolution,1152 x 864,-0.0002,0.036
