date,category,name,change,percentage
2008-11-01,Processor Vendor,AuthenticAMD,-0.0094,0.3575
2008-11-01,Processor Vendor,GenuineIntel,0.0094,0.6424
2009-01-01,Processor Vendor,AuthenticAMD,0.0001,0.3534
2009-01-01,Processor Vendor,GenuineIntel,0.0001,0.6466
2009-02-01,Processor Vendor,AuthenticAMD,-0.0014,0.3493
2009-02-01,Processor Vendor,GenuineIntel,0.0014,0.6506
2009-03-01,Processor Vendor,AuthenticAMD,-0.0047,0.3375
2009-03-01,Processor Vendor,GenuineIntel,0.0047,0.6624
2009-04-01,Processor Vendor,AuthenticAMD,-0.0033,0.3351
2009-04-01,Processor Vendor,GenuineIntel,0.0032,0.6648
2009-05-01,Processor Vendor,AuthenticAMD,-0.0046,0.3305
2009-05-01,Processor Vendor,GenuineIntel,0.0046,0.6694
2009-05-01,Processor Vendor,GenuineTMx86,0.0,0.0
2009-06-01,Processor Vendor,AuthenticAMD,0.0005,0.3285
2009-06-01,Processor Vendor,GenuineIntel,-0.0005,0.6714
2009-06-01,Processor Vendor,Unspecified,0.0001,0.0001
2009-07-01,Processor Vendor,AuthenticAMD,-0.0205,0.308
2009-07-01,Processor Vendor,GenuineIntel,-0.0352,0.6362
2009-07-01,Processor Vendor,Unspecified,0.0557,0.0558
2009-08-01,Processor Vendor,AuthenticAMD,-0.0002,0.3199
2009-08-01,Processor Vendor,GenuineIntel,0.0001,0.6799
2009-09-01,Processor Vendor,AuthenticAMD,-0.0028,0.3171
2009-09-01,Processor Vendor,GenuineIntel,0.0029,0.6828
2009-10-01,Processor Vendor,AuthenticAMD,-0.0052,0.3119
2009-10-01,Processor Vendor,GenuineIntel,0.0052,0.688
2009-10-01,Processor Vendor,GenuineTMx86,0.0,0.0
2009-11-01,Processor Vendor,AuthenticAMD,-0.0016,0.3103
2009-11-01,Processor Vendor,GenuineIntel,0.0017,0.6897
2009-12-01,Processor Vendor,AuthenticAMD,-0.0009,0.3094
2009-12-01,Processor Vendor,GenuineIntel,0.0009,0.6906
2010-01-01,Processor Vendor,AuthenticAMD,0.0015,0.3094
2010-01-01,Processor Vendor,CyrixInstead,0.0,0.0
2010-01-01,Processor Vendor,GenuineIntel,-0.0015,0.6905
2010-02-01,Processor Vendor,AuthenticAMD,-0.0043,0.3051
2010-02-01,Processor Vendor,GenuineIntel,0.0043,0.6948
2010-02-01,Processor Vendor,GenuineTMx86,0.0,0.0
2010-03-01,Processor Vendor,AuthenticAMD,-0.0043,0.3051
2010-03-01,Processor Vendor,GenuineIntel,0.0044,0.6949
2010-04-01,Processor Vendor,AuthenticAMD,-0.0017,0.3041
2010-04-01,Processor Vendor,GenuineIntel,0.0016,0.6958
2010-05-01,Processor Vendor,AuthenticAMD,-0.0295,0.2746
2010-05-01,Processor Vendor,GenuineIntel,0.0296,0.7254
