date,category,name,change,percentage
2008-11-01,System RAM,1 Gb to 1.49 GB,-0.0127,0.2094
2008-11-01,System RAM,1.5 Gb to 1.99 GB,0.0047,0.0775
2008-11-01,System RAM,2.0 Gb and above,0.0199,0.5618
2008-11-01,System RAM,512 Mb to 999 MB,-0.0088,0.1222
2008-11-01,System RAM,Less than 512 MB,-0.0031,0.0291
2009-01-01,System RAM,1 Gb to 1.49 GB,-0.0176,0.1841
2009-01-01,System RAM,1.5 Gb to 1.99 GB,-0.0045,0.071
2009-01-01,System RAM,2.0 Gb and above,0.0458,0.6319
2009-01-01,System RAM,512 Mb to 999 MB,-0.0165,0.0957
2009-01-01,System RAM,Less than 512 MB,-0.0072,0.0174
2009-02-01,System RAM,1 Gb to 1.49 GB,-0.02,0.1701
2009-02-01,System RAM,1.5 Gb to 1.99 GB,-0.006,0.069
2009-02-01,System RAM,2.0 Gb and above,0.0441,0.6572
2009-02-01,System RAM,512 Mb to 999 MB,-0.0126,0.0882
2009-02-01,System RAM,Less than 512 MB,-0.0056,0.0155
2009-03-01,System RAM,1 GB,-0.0141,0.1952
2009-03-01,System RAM,2 GB,-0.0008,0.3694
2009-03-01,System RAM,3 GB,0.0214,0.2416
2009-03-01,System RAM,4 GB,0.007,0.0712
2009-03-01,System RAM,5 GB and higher,0.0033,0.0257
2009-03-01,System RAM,512 Mb to 999 MB,-0.0129,0.0808
2009-03-01,System RAM,Less than 512 MB,-0.004,0.0159
2009-04-01,System RAM,1 GB,-0.0082,0.1926
2009-04-01,System RAM,2 GB,-0.0062,0.3602
2009-04-01,System RAM,3 GB,0.0096,0.245
2009-04-01,System RAM,4 GB,0.0046,0.0726
2009-04-01,System RAM,5 GB and higher,0.0038,0.0294
2009-04-01,System RAM,512 Mb to 999 MB,-0.0026,0.0833
2009-04-01,System RAM,Less than 512 MB,-0.0009,0.0169
2009-05-01,System RAM,1 GB,-0.0139,0.1787
2009-05-01,System RAM,2 GB,0.0002,0.3604
2009-05-01,System RAM,3 GB,0.0152,0.2602
2009-05-01,System RAM,4 GB,0.0083,0.0809
2009-05-01,System RAM,5 GB and higher,0.004,0.0334
2009-05-01,System RAM,512 Mb to 999 MB,-0.0101,0.0732
2009-05-01,System RAM,Less than 512 MB,-0.0038,0.0131
2009-06-01,System RAM,1 GB,0.0008,0.1852
2009-06-01,System RAM,2 GB,-0.0014,0.3557
2009-06-01,System RAM,3 GB,0.0228,0.2763
2009-06-01,System RAM,4 GB,-0.0058,0.0736
2009-06-01,System RAM,5 GB and higher,-0.0059,0.0273
2009-06-01,System RAM,512 Mb to 999 MB,-0.0066,0.0706
2009-06-01,System RAM,Less than 512 MB,-0.0038,0.0113
2009-07-01,System RAM,1 GB,-0.0267,0.1585
2009-07-01,System RAM,2 GB,-0.0316,0.3241
2009-07-01,System RAM,3 GB,-0.0057,0.2706
2009-07-01,System RAM,4 GB,0.0105,0.0841
2009-07-01,System RAM,5 GB and higher,0.0083,0.0356
2009-07-01,System RAM,512 Mb to 999 MB,-0.0093,0.0613
2009-07-01,System RAM,Less than 512 MB,-0.0012,0.0101
2009-08-01,System RAM,1 GB,-0.0063,0.1572
2009-08-01,System RAM,2 GB,-0.0072,0.3303
2009-08-01,System RAM,3 GB,0.0064,0.2797
2009-08-01,System RAM,4 GB,0.0065,0.1018
2009-08-01,System RAM,5 GB and higher,0.0046,0.0513
2009-08-01,System RAM,512 Mb to 999 MB,-0.0042,0.0655
2009-08-01,System RAM,Less than 512 MB,-0.0001,0.0139
2009-09-01,System RAM,1 GB,-0.0068,0.1504
2009-09-01,System RAM,2 GB,-0.0036,0.3267
