date,category,name,change,percentage
2008-11-01,Total Hard Drive Space,10 GB to  99 GB,-0.0108,0.1723
2008-11-01,Total Hard Drive Space,100 GB to 249 GB,0.0007,0.3964
2008-11-01,Total Hard Drive Space,250 GB to 499 GB,0.0027,0.2583
2008-11-01,Total Hard Drive Space,500 GB to 749 GB,0.0022,0.0802
2008-11-01,Total Hard Drive Space,750 GB to 999 GB,0.0025,0.0466
2008-11-01,Total Hard Drive Space,Above 1 TB,0.0029,0.0456
2008-11-01,Total Hard Drive Space,Less than 10 GB,-0.0001,0.0005
2009-01-01,Total Hard Drive Space,10 GB to  99 GB,-0.0253,0.1343
2009-01-01,Total Hard Drive Space,100 GB to 249 GB,-0.0072,0.3822
2009-01-01,Total Hard Drive Space,250 GB to 499 GB,0.0161,0.2819
2009-01-01,Total Hard Drive Space,500 GB to 749 GB,0.0078,0.0915
2009-01-01,Total Hard Drive Space,750 GB to 999 GB,0.0035,0.0533
2009-01-01,Total Hard Drive Space,Above 1 TB,0.0052,0.0564
2009-01-01,Total Hard Drive Space,Less than 10 GB,-0.0001,0.0003
2009-02-01,Total Hard Drive Space,10 GB to  99 GB,-0.027,0.122
2009-02-01,Total Hard Drive Space,100 GB to 249 GB,-0.008,0.3714
2009-02-01,Total Hard Drive Space,250 GB to 499 GB,0.0273,0.2945
2009-02-01,Total Hard Drive Space,500 GB to 749 GB,0.0074,0.0951
2009-02-01,Total Hard Drive Space,750 GB to 999 GB,0.0046,0.0569
2009-02-01,Total Hard Drive Space,Above 1 TB,-0.004,0.0598
2009-02-01,Total Hard Drive Space,Less than 10 GB,-0.0003,0.0002
2009-03-01,Total Hard Drive Space,10 GB to  99 GB,-0.0172,0.1226
2009-03-01,Total Hard Drive Space,100 GB to 249 GB,-0.0088,0.3593
2009-03-01,Total Hard Drive Space,250 GB to 499 GB,0.0141,0.2897
2009-03-01,Total Hard Drive Space,500 GB to 749 GB,0.0054,0.0976
2009-03-01,Total Hard Drive Space,750 GB to 999 GB,0.0041,0.0594
2009-03-01,Total Hard Drive Space,Above 1 TB,0.0025,0.0709
2009-03-01,Total Hard Drive Space,Less than 10 GB,-0.0001,0.0003
2009-04-01,Total Hard Drive Space,10 GB to  99 GB,-0.0054,0.1265
2009-04-01,Total Hard Drive Space,100 GB to 249 GB,-0.006,0.3561
2009-04-01,Total Hard Drive Space,250 GB to 499 GB,0.0039,0.2854
2009-04-01,Total Hard Drive Space,500 GB to 749 GB,-0.0001,0.0941
2009-04-01,Total Hard Drive Space,750 GB to 999 GB,0.0025,0.0604
2009-04-01,Total Hard Drive Space,Above 1 TB,0.0051,0.0769
2009-04-01,Total Hard Drive Space,Less than 10 GB,0.0,0.0003
2009-05-01,Total Hard Drive Space,10 GB to  99 GB,-0.0116,0.1149
2009-05-01,Total Hard Drive Space,100 GB to 249 GB,-0.0129,0.3432
2009-05-01,Total Hard Drive Space,250 GB to 499 GB,0.0109,0.2963
2009-05-01,Total Hard Drive Space,500 GB to 749 GB,0.0054,0.0995
2009-05-01,Total Hard Drive Space,750 GB to 999 GB,0.004,0.0644
2009-05-01,Total Hard Drive Space,Above 1 TB,0.0044,0.0813
2009-05-01,Total Hard Drive Space,Less than 10 GB,-0.0001,0.0002
2009-06-01,Total Hard Drive Space,10 GB to  99 GB,-0.024,0.0995
2009-06-01,Total Hard Drive Space,100 GB to 249 GB,-0.0074,0.342
2009-06-01,Total Hard Drive Space,250 GB to 499 GB,0.0345,0.3206
2009-06-01,Total Hard Drive Space,500 GB to 749 GB,0.003,0.0983
2009-06-01,Total Hard Drive Space,750 GB to 999 GB,0.0032,0.0649
2009-06-01,Total Hard Drive Space,Above 1 TB,-0.0091,0.0743
2009-06-01,Total Hard Drive Space,Less than 10 GB,-0.0001,0.0002
2009-07-01,Total Hard Drive Space,10 GB to  99 GB,-0.0067,0.0928
