date,category,name,change,percentage
2008-11-01,Video Card Driver Name,Other,0.0011,0.0688
2008-11-01,Video Card Driver Name,ati2dvag.dll,-0.0032,0.1997
2008-11-01,Video Card Driver Name,atiumdag.dll,0.0034,0.0715
2008-11-01,Video Card Driver Name,ialmrnt5.dll,0.0,0.0202
2008-11-01,Video Card Driver Name,nv4_disp.dll,-0.0099,0.4328
2008-11-01,Video Card Driver Name,nvd3dum.dll,0.0087,0.2071
2009-01-01,Video Card Driver Name,Display,-0.0017,0.0025
2009-01-01,Video Card Driver Name,Other,-0.0026,0.0042
2009-01-01,Video Card Driver Name,S3gIGP.dll,0.0009,0.0009
2009-01-01,Video Card Driver Name,SiSGRV.dll,-0.0011,0.0024
2009-01-01,Video Card Driver Name,Unspecified,-0.0001,0.0014
2009-01-01,Video Card Driver Name,ati2dvag.dll,-0.0009,0.1923
2009-01-01,Video Card Driver Name,atiumdag.dll,0.0107,0.0887
2009-01-01,Video Card Driver Name,atklumdisp.dll,0.0001,0.0024
2009-01-01,Video Card Driver Name,ialmrnt5.dll,-0.0058,0.013
2009-01-01,Video Card Driver Name,igdumd32.dll,-0.0027,0.0161
2009-01-01,Video Card Driver Name,igdumdx32.dll,0.0003,0.0033
2009-01-01,Video Card Driver Name,igxprd32.dll,-0.0032,0.009
2009-01-01,Video Card Driver Name,nv4_disp.dll,-0.0081,0.4211
2009-01-01,Video Card Driver Name,nvd3dum,-0.0006,0.0021
2009-01-01,Video Card Driver Name,nvd3dum.dll,0.0212,0.2357
2009-01-01,Video Card Driver Name,vga.dll,-0.0032,0.0035
2009-01-01,Video Card Driver Name,vtdisp.dll,-0.0019,0.0026
2009-02-01,Video Card Driver Name,Display,-0.002,0.0017
2009-02-01,Video Card Driver Name,Other,-0.0021,0.0038
2009-02-01,Video Card Driver Name,S3gIGP.dll,0.0008,0.0008
2009-02-01,Video Card Driver Name,SiSGRV.dll,-0.0008,0.0025
2009-02-01,Video Card Driver Name,ati2dvag.dll,0.0001,0.1869
2009-02-01,Video Card Driver Name,atiumdag.dll,0.0075,0.0932
2009-02-01,Video Card Driver Name,atklumdisp.dll,0.0004,0.003
2009-02-01,Video Card Driver Name,ialmrnt5.dll,-0.0051,0.0112
2009-02-01,Video Card Driver Name,igdumd32.dll,-0.0029,0.0152
2009-02-01,Video Card Driver Name,igdumdx32.dll,-0.0001,0.004
2009-02-01,Video Card Driver Name,igxprd32.dll,-0.0035,0.0087
2009-02-01,Video Card Driver Name,nv4_disp.dll,-0.0142,0.4087
2009-02-01,Video Card Driver Name,nvd3dum,-0.0007,0.002
2009-02-01,Video Card Driver Name,nvd3dum.dll,0.0285,0.2528
2009-02-01,Video Card Driver Name,vga.dll,-0.0035,0.0029
2009-02-01,Video Card Driver Name,vtdisp.dll,-0.0008,0.0028
2009-03-01,Video Card Driver Name,Display,-0.0007,0.0032
2009-03-01,Video Card Driver Name,Other,-0.0013,0.0045
2009-03-01,Video Card Driver Name,SiSGRV.dll,-0.0003,0.0027
2009-03-01,Video Card Driver Name,Unspecified,-0.0004,0.0008
2009-03-01,Video Card Driver Name,ati2dvag.dll,-0.0038,0.1755
2009-03-01,Video Card Driver Name,atiumdag.dll,0.0068,0.0979
2009-03-01,Video Card Driver Name,atklumdisp.dll,0.0003,0.0031
2009-03-01,Video Card Driver Name,ialmrnt5.dll,-0.0023,0.0126
2009-03-01,Video Card Driver Name,igdumd32.dll,-0.001,0.0165
2009-03-01,Video Card Driver Name,igdumdx32.dll,-0.0002,0.0049
2009-03-01,Video Card Driver Name,igxprd32.dll,-0.0016,0.011
2009-03-01,Video Card Driver Name,nv4_disp.dll,-0.0168,0.3962
2009-03-01,Video Card Driver Name,nvd3dum,-0.0002,0.0026
2009-03-01,Video Card Driver Name,nvd3dum.dll,0.0249,0.2619
2009-03-01,Video Card Driver Name,vga.dll,-0.0024,0.0038
2009-03-01,Video Card Driver Name,vtdisp.dll,-0.0009,0.0028
2009-04-01,Video Card Driver Name,Display,0.0,0.0039
2009-04-01,Video Card Driver Name,Other,-0.0002,0.0051
2009-04-01,Video Card Driver Name,S3gIGP.dll,0.0011,0.0011
2009-04-01,Video Card Driver Name,SiSGRV.dll,0.0,0.0028
2009-04-01,Video Card Driver Name,ati2dvag.dll,-0.0024,0.1728
2009-04-01,Video Card Driver Name,atiumdag.dll,0.005,0.0998
2009-04-01,Video Card Driver Name,atklumdisp.dll,-0.0001,0.0029
2009-04-01,Video Card Driver Name,ialmrnt5.dll,-0.0014,0.0133
2009-04-01,Video Card Driver Name,igdumd32.dll,-0.0007,0.0167
2009-04-01,Video Card Driver Name,igdumdx32.dll,0.0012,0.0067
2009-04-01,Video Card Driver Name,igxprd32.dll,-0.0007,0.0124
2009-04-01,Video Card Driver Name,nv4_disp.dll,-0.004,0.3972
2009-04-01,Video Card Driver Name,nvd3dum,-0.0005,0.0024
2009-04-01,Video Card Driver Name,nvd3dum.dll,0.004,0.2542
2009-04-01,Video Card Driver Name,vga.dll,-0.0002,0.0055
2009-04-01,Video Card Driver Name,vtdisp.dll,-0.0001,0.0032
2009-05-01,Video Card Driver Name,Display,-0.0006,0.0033
2009-05-01,Video Card Driver Name,Other,-0.0008,0.0043
2009-05-01,Video Card Driver Name,S3gIGP.dll,-0.0001,0.001
2009-05-01,Video Card Driver Name,SiSGRV.dll,-0.0005,0.0023
2009-05-01,Video Card Driver Name,ati2dvag.dll,-0.0038,0.169
2009-05-01,Video Card Driver Name,atiumdag.dll,0.0063,0.1061
2009-05-01,Video Card Driver Name,atklumdisp.dll,-0.0002,0.0027
2009-05-01,Video Card Driver Name,ialmrnt5.dll,-0.0019,0.0114
2009-05-01,Video Card Driver Name,igdumd32.dll,-0.0012,0.0155
2009-05-01,Video Card Driver Name,igdumdx32.dll,-0.0002,0.0065
2009-05-01,Video Card Driver Name,igxprd32.dll,-0.0015,0.0109
2009-05-01,Video Card Driver Name,nv4_disp.dll,-0.0141,0.3831
2009-05-01,Video Card Driver Name,nvd3dum,-0.0002,0.0022
2009-05-01,Video Card Driver Name,nvd3dum.dll,0.0216,0.2758
2009-05-01,Video Card Driver Name,vga.dll,-0.002,0.0035
2009-05-01,Video Card Driver Name,vtdisp.dll,-0.0009,0.0023
2009-06-01,Video Card Driver Name,Display,-0.0032,0.0012
2009-06-01,Video Card Driver Name,Other,-0.0027,0.0022
2009-06-01,Video Card Driver Name,S3gIGP.dll,-0.0006,0.0005
2009-06-01,Video Card Driver Name,SiSGRV.dll,-0.0007,0.002
2009-06-01,Video Card Driver Name,ati2dvag.dll,0.0159,0.1814
