date,category,name,change,percentage
2008-11-01,Windows Version,Other,-0.0003,0.0007
2008-11-01,Windows Version,Windows 2000,-0.0006,0.0027
2008-11-01,Windows Version,Windows 2003 64 bit,-0.0003,0.0076
2008-11-01,Windows Version,Windows Vista 32 bit,0.0098,0.2319
2008-11-01,Windows Version,Windows Vista 64 bit,0.0038,0.0682
2008-11-01,Windows Version,Windows XP 32 bit,-0.0128,0.6867
2008-11-01,Windows Version,Windows XP 64 bit,0.0003,0.0021
2009-01-01,Windows Version,Other,0.0,0.0008
2009-01-01,Windows Version,Windows 2000,-0.0001,0.0027
2009-01-01,Windows Version,Windows 2003 64 bit,0.0001,0.0077
2009-01-01,Windows Version,Windows Vista 32 bit,0.0159,0.2551
2009-01-01,Windows Version,Windows Vista 64 bit,0.0088,0.0841
2009-01-01,Windows Version,Windows XP 32 bit,-0.0257,0.6461
2009-01-01,Windows Version,Windows XP 64 bit,0.0009,0.0034
2009-02-01,Windows Version,Other,0.0004,0.0013
2009-02-01,Windows Version,Windows 2000,-0.0007,0.0019
2009-02-01,Windows Version,Windows 2003 64 bit,0.0015,0.0091
2009-02-01,Windows Version,Windows Vista 32 bit,0.0202,0.2649
2009-02-01,Windows Version,Windows Vista 64 bit,0.0073,0.0952
2009-02-01,Windows Version,Windows XP 32 bit,-0.0298,0.6241
2009-02-01,Windows Version,Windows XP 64 bit,0.0009,0.0034
2009-03-01,Windows Version,Other,0.0001,0.0013
2009-03-01,Windows Version,Windows 2000,-0.0001,0.0019
2009-03-01,Windows Version,Windows 2003 64 bit,-0.0004,0.008
2009-03-01,Windows Version,Windows 7,0.0024,0.0073
2009-03-01,Windows Version,Windows 7 64 bit,0.0025,0.0078
2009-03-01,Windows Version,Windows Vista 32 bit,0.0144,0.264
2009-03-01,Windows Version,Windows Vista 64 bit,0.0078,0.0996
2009-03-01,Windows Version,Windows XP 32 bit,-0.0276,0.6068
2009-03-01,Windows Version,Windows XP 64 bit,0.0008,0.0033
2009-04-01,Windows Version,Other,0.0,0.0013
2009-04-01,Windows Version,Windows 2000,-0.0003,0.0017
2009-04-01,Windows Version,Windows 2003 64 bit,0.0003,0.0082
2009-04-01,Windows Version,Windows 7,0.0001,0.0083
2009-04-01,Windows Version,Windows 7 64 bit,0.0028,0.0114
2009-04-01,Windows Version,Windows Vista 32 bit,-0.0001,0.2549
2009-04-01,Windows Version,Windows Vista 64 bit,0.0056,0.1015
2009-04-01,Windows Version,Windows XP 32 bit,-0.0087,0.6096
2009-04-01,Windows Version,Windows XP 64 bit,0.0003,0.0032
2009-05-01,Windows Version,Other,-0.0001,0.0012
2009-05-01,Windows Version,Windows 2000,-0.0001,0.0016
2009-05-01,Windows Version,Windows 2003 64 bit,0.0002,0.0084
2009-05-01,Windows Version,Windows 7,0.0056,0.0139
2009-05-01,Windows Version,Windows 7 64 bit,0.009,0.0204
2009-05-01,Windows Version,Windows Vista 32 bit,0.0046,0.2595
2009-05-01,Windows Version,Windows Vista 64 bit,0.0037,0.1052
2009-05-01,Windows Version,Windows XP 32 bit,-0.0239,0.5857
2009-05-01,Windows Version,Windows XP 64 bit,0.001,0.0042
2009-06-01,Windows Version,Other,0.0001,0.0013
2009-06-01,Windows Version,Windows 2000,-0.0001,0.0015
2009-06-01,Windows Version,Windows 2003 64 bit,-0.0012,0.0069
2009-06-01,Windows Version,Windows 7,-0.0033,0.0143
2009-06-01,Windows Version,Windows 7 64 bit,-0.0063,0.0198
2009-06-01,Windows Version,Windows Vista 32 bit,0.01,0.2582
2009-06-01,Windows Version,Windows Vista 64 bit,-0.0105,0.0894
2009-06-01,Windows Version,Windows XP 32 bit,0.0103,0.6041
2009-06-01,Windows Version,Windows XP 64 bit,0.001,0.0046
2009-07-01,Windows Version,Other,0.0007,0.002
