date,name,percentage
2008-11-01,ATI,0.1993
2008-11-01,Intel,0.032
2008-11-01,NVIDIA,0.5648
2008-11-01,Other,0.2039
2009-01-01,ATI,0.21030000000000001
2009-01-01,Intel,0.0247
2009-01-01,NVIDIA,0.581
2009-01-01,Other,0.184
2009-02-01,ATI,0.2066
2009-02-01,Intel,0.022600000000000002
2009-02-01,NVIDIA,0.5925
2009-02-01,Other,0.1783
2009-03-01,ATI,0.1998
2009-03-01,Intel,0.025
2009-03-01,NVIDIA,0.5829
2009-03-01,Other,0.1923
2009-04-01,ATI,0.193
2009-04-01,Intel,0.0324
2009-04-01,NVIDIA,0.5733
2009-04-01,Other,0.2014
2009-05-01,ATI,0.1999
2009-05-01,Intel,0.0298
2009-05-01,NVIDIA,0.5838
2009-05-01,Other,0.1869
2009-06-01,ATI,0.2215
2009-06-01,Intel,0.0092
2009-06-01,NVIDIA,0.5815
2009-06-01,Other,0.1879
2009-07-01,ATI,0.204
2009-07-01,Intel,0.0271
2009-07-01,NVIDIA,0.5487
2009-07-01,Other,0.2436
2009-08-01,ATI,0.2024
2009-08-01,Intel,0.037
2009-08-01,NVIDIA,0.5549000000000001
2009-08-01,Other,0.2059
2009-09-01,ATI,0.1998
2009-09-01,Intel,0.0378
2009-09-01,NVIDIA,0.5521
2009-09-01,Other,0.2102
2009-10-01,ATI,0.1939
2009-10-01,Intel,0.0364
2009-10-01,NVIDIA,0.5545
2009-10-01,Other,0.2153
2009-11-01,ATI,0.2025
2009-11-01,Intel,0.029400000000000003
2009-11-01,NVIDIA,0.544
2009-11-01,Other,0.2241
2009-12-01,ATI,0.2128
2009-12-01,Intel,0.0186
2009-12-01,NVIDIA,0.5624
2009-12-01,Other,0.2063
2010-01-01,ATI,0.2182
2010-01-01,Intel,0.0371
2010-01-01,NVIDIA,0.5186
2010-01-01,Other,0.2261
2010-02-01,ATI,0.2264
2010-02-01,Intel,0.0301
2010-02-01,NVIDIA,0.5253
2010-02-01,Other,0.2183
2010-03-01,ATI,0.2329
2010-03-01,Intel,0.0256
2010-03-01,NVIDIA,0.5139
2010-03-01,Other,0.233
2010-05-01,ATI,0.22590000000000002
2010-05-01,Intel,0.0413
2010-05-01,NVIDIA,0.49670000000000003
2010-05-01,Other,0.2358
2010-06-01,ATI,0.23299999999999998
2010-06-01,Intel,0.0246
2010-06-01,NVIDIA,0.5012
2010-06-01,Other,0.2412
2010-07-01,ATI,0.2386
2010-07-01,Intel,0.030199999999999998
2010-07-01,NVIDIA,0.4943
2010-07-01,Other,0.2486
2010-08-01,ATI,0.2236
2010-08-01,Intel,0.0349
2010-08-01,NVIDIA,0.4741
2010-08-01,Other,0.2675
2010-11-01,ATI,0.247
2010-11-01,Intel,0.023899999999999998
2010-11-01,NVIDIA,0.482
2010-11-01,Other,0.2472
2011-01-01,ATI,0.2443
2011-01-01,Intel,0.024900000000000002
2011-01-01,NVIDIA,0.4764
2011-01-01,Other,0.2544
2011-04-01,ATI,0.25780000000000003
2011-04-01,Intel,0.0125
2011-04-01,NVIDIA,0.4766
2011-04-01,Other,0.2531
2011-06-01,ATI,0.2678
2011-06-01,Intel,0.0188
2011-06-01,NVIDIA,0.4796
2011-06-01,Other,0.2448
2011-08-01,ATI,0.2585
2011-08-01,Intel,0.0199
2011-08-01,NVIDIA,0.4637
2011-08-01,Other,0.2577
2011-10-01,ATI,0.2424
2011-10-01,Intel,0.0247
2011-10-01,NVIDIA,0.4902
2011-10-01,Other,0.2428
2011-11-01,ATI,0.247
2011-11-01,Intel,0.023899999999999998
2011-11-01,NVIDIA,0.482
2011-11-01,Other,0.2472
2011-12-01,ATI,0.2455
2011-12-01,Intel,0.025500000000000002
2011-12-01,NVIDIA,0.4807
2011-12-01,Other,0.2486
2012-02-01,ATI,0.2784
2012-02-01,Intel,0.0152
2012-02-01,NVIDIA,0.4546
2012-02-01,Other,0.252
2012-03-01,ATI,0.2412
2012-03-01,Intel,0.0707
2012-03-01,NVIDIA,0.3961
2012-03-01,Other,0.2918
2012-04-01,ATI,0.2246
2012-04-01,Intel,0.0939
2012-04-01,NVIDIA,0.3804
2012-04-01,Other,0.3009
2012-05-01,ATI,0.2122
2012-05-01,Intel,0.1028
2012-05-01,NVIDIA,0.3837
2012-05-01,Other,1.0
2012-07-01,ATI,0.2061
2012-07-01,Intel,0.1133
2012-07-01,NVIDIA,0.3586
2012-07-01,Other,0.3219
2012-08-01,ATI,0.2034
2012-08-01,Intel,0.1169
2012-08-01,NVIDIA,0.3679
2012-08-01,Other,0.3116
2012-10-01,ATI,0.1977
2012-10-01,Intel,0.1055
2012-10-01,NVIDIA,0.3566
2012-10-01,Other,0.3403
2012-12-01,ATI,0.1869
2012-12-01,Intel,0.1151
2012-12-01,NVIDIA,0.3272
2012-12-01,Other,0.371
2013-02-01,ATI,0.18510000000000001
2013-02-01,Intel,0.1145
2013-02-01,NVIDIA,0.3522
2013-02-01,Other,0.3483
2013-03-01,ATI,0.1813
2013-03-01,Intel,0.1217
2013-03-01,NVIDIA,0.3463
2013-03-01,Other,0.351
2013-06-01,ATI,0.172
2013-06-01,Intel,0.1239
2013-06-01,NVIDIA,0.3612
2013-06-01,Other,0.3427
2013-07-01,ATI,0.1728
2013-07-01,Intel,0.1285
2013-07-01,NVIDIA,0.3593
2013-07-01,Other,0.3393
2013-09-01,ATI,0.1645
2013-09-01,Intel,0.1374
2013-09-01,NVIDIA,0.3594
2013-09-01,Other,0.3389
2013-11-01,Other,1.0
2013-12-01,ATI,0.1267
2013-12-01,Intel,0.14730000000000001
2013-12-01,NVIDIA,0.345
2013-12-01,Other,1.0
2014-01-01,ATI,0.1305
2014-01-01,Intel,0.1433
2014-01-01,NVIDIA,0.3606
2014-01-01,Other,0.3655
2014-03-01,Other,1.0
2014-04-01,ATI,0.1298
2014-04-01,Intel,0.1549
